"Region","RegionName","State","ForecastYoYPctChange","MSAName","CountyName","CityName"
"National","United States","US",2.58034193901814,NA,NA,NA
"MSA","Akron, OH","OH",2.10842306341405,"Akron, OH",NA,NA
"MSA","Albany, GA","GA",3.26742021284582,"Albany, GA",NA,NA
"MSA","Albany, NY","NY",2.85143930624699,"Albany, NY",NA,NA
"MSA","Albuquerque, NM","NM",2.90744800566368,"Albuquerque, NM",NA,NA
"MSA","Alexandria, LA","LA",2.87465292428334,"Alexandria, LA",NA,NA
"MSA","Allentown, PA","PA",2.14480709166886,"Allentown, PA",NA,NA
"MSA","Altoona, PA","PA",3.10159502654047,"Altoona, PA",NA,NA
"MSA","Amarillo, TX","TX",2.88199347030253,"Amarillo, TX",NA,NA
"MSA","Anchorage, AK","AK",4.8770872542031,"Anchorage, AK",NA,NA
"MSA","Ann Arbor, MI","MI",2.59275845736607,"Ann Arbor, MI",NA,NA
"MSA","Appleton, WI","WI",3.77132211141713,"Appleton, WI",NA,NA
"MSA","Asheville, NC","NC",1.86078170965129,"Asheville, NC",NA,NA
"MSA","Athens, GA","GA",3.94736389399589,"Athens, GA",NA,NA
"MSA","Atlanta, GA","GA",3.12050264266516,"Atlanta, GA",NA,NA
"MSA","Atlantic City, NJ","NJ",1.52206604260574,"Atlantic City, NJ",NA,NA
"MSA","Augusta, GA","GA",3.02678964152532,"Augusta, GA",NA,NA
"MSA","Austin, TX","TX",3.3743529963633,"Austin, TX",NA,NA
"MSA","Bakersfield, CA","CA",3.45466758118947,"Bakersfield, CA",NA,NA
"MSA","Baltimore, MD","MD",1.82132659677199,"Baltimore, MD",NA,NA
"MSA","Cape Cod, MA","MA",2.41186446200713,"Cape Cod, MA",NA,NA
"MSA","Baton Rouge, LA","LA",2.18088217569202,"Baton Rouge, LA",NA,NA
"MSA","Battle Creek, MI","MI",3.65206017358619,"Battle Creek, MI",NA,NA
"MSA","Bay City, MI","MI",2.46156969102003,"Bay City, MI",NA,NA
"MSA","Bellingham, WA","WA",2.60383628485577,"Bellingham, WA",NA,NA
"MSA","Bend, OR","OR",-0.483413860948586,"Bend, OR",NA,NA
"MSA","Billings, MT","MT",1.24248774232145,"Billings, MT",NA,NA
"MSA","Binghamton, NY","NY",3.00886363424661,"Binghamton, NY",NA,NA
"MSA","Birmingham, AL","AL",2.1621170007427,"Birmingham, AL",NA,NA
"MSA","Bismarck, ND","ND",3.81355270157172,"Bismarck, ND",NA,NA
"MSA","Blacksburg, VA","VA",0.666684018182551,"Blacksburg, VA",NA,NA
"MSA","Bloomington, IN","IN",3.53237842589308,"Bloomington, IN",NA,NA
"MSA","Boise City, ID","ID",3.61744280866393,"Boise City, ID",NA,NA
"MSA","Boston, MA","MA",3.13978964242244,"Boston, MA",NA,NA
