"RegionName","HousingType","Time","Value"
"Los Angeles","1 Bedroom",2010-01-01,NA
"San Francisco","1 Bedroom",2010-01-01,672.617156893886
"Seattle","1 Bedroom",2010-01-01,394.144144144144
"Los Angeles","2 Bedroom",2010-01-01,NA
"San Francisco","2 Bedroom",2010-01-01,NA
"Seattle","2 Bedroom",2010-01-01,337.356581303028
"Los Angeles","3 Bedroom",2010-01-01,NA
"San Francisco","3 Bedroom",2010-01-01,NA
"Seattle","3 Bedroom",2010-01-01,280.412371134021
"Los Angeles","4 Bedroom",2010-01-01,NA
"San Francisco","4 Bedroom",2010-01-01,NA
"Seattle","4 Bedroom",2010-01-01,255.75427854012
"New York","5+ Bedroom",2010-01-01,229.082321187584
"Los Angeles","5+ Bedroom",2010-01-01,NA
"San Francisco","5+ Bedroom",2010-01-01,NA
"Seattle","5+ Bedroom",2010-01-01,242.314829314125
"Los Angeles","All Homes",2010-01-01,NA
"San Francisco","All Homes",2010-01-01,NA
"Seattle","All Homes",2010-01-01,310.287356321839
"New York","Condominium",2010-01-01,NA
"Los Angeles","Condominium",2010-01-01,NA
"San Francisco","Condominium",2010-01-01,640.790499600241
"Seattle","Condominium",2010-01-01,362.060161495143
"New York","Single Family Residence",2010-01-01,NA
"Los Angeles","Single Family Residence",2010-01-01,NA
"San Francisco","Single Family Residence",2010-01-01,NA
"Seattle","Single Family Residence",2010-01-01,281.431767337808
"Los Angeles","1 Bedroom",2010-02-01,NA
"San Francisco","1 Bedroom",2010-02-01,685.828604423943
"Seattle","1 Bedroom",2010-02-01,393.75
"Los Angeles","2 Bedroom",2010-02-01,NA
"San Francisco","2 Bedroom",2010-02-01,NA
"Seattle","2 Bedroom",2010-02-01,340.225095273712
"Los Angeles","3 Bedroom",2010-02-01,NA
"San Francisco","3 Bedroom",2010-02-01,NA
"Seattle","3 Bedroom",2010-02-01,274.581256490135
"Los Angeles","4 Bedroom",2010-02-01,NA
"San Francisco","4 Bedroom",2010-02-01,NA
"Seattle","4 Bedroom",2010-02-01,251.000714087357
"New York","5+ Bedroom",2010-02-01,226.96209469255
"Los Angeles","5+ Bedroom",2010-02-01,NA
"San Francisco","5+ Bedroom",2010-02-01,NA
"Seattle","5+ Bedroom",2010-02-01,239.037619047619
"Los Angeles","All Homes",2010-02-01,NA
"San Francisco","All Homes",2010-02-01,NA
"Seattle","All Homes",2010-02-01,312.076350176558
"New York","Condominium",2010-02-01,NA
"Los Angeles","Condominium",2010-02-01,NA
"San Francisco","Condominium",2010-02-01,652.436810501327
"Seattle","Condominium",2010-02-01,365.05291005291
"New York","Single Family Residence",2010-02-01,NA
"Los Angeles","Single Family Residence",2010-02-01,NA
"San Francisco","Single Family Residence",2010-02-01,NA
"Seattle","Single Family Residence",2010-02-01,278.164556962025
"Los Angeles","1 Bedroom",2010-03-01,NA
"San Francisco","1 Bedroom",2010-03-01,686.777920410783
"Seattle","1 Bedroom",2010-03-01,401.381909547739
"Los Angeles","2 Bedroom",2010-03-01,NA
"San Francisco","2 Bedroom",2010-03-01,NA
"Seattle","2 Bedroom",2010-03-01,335.779722079259
"Los Angeles","3 Bedroom",2010-03-01,NA
"San Francisco","3 Bedroom",2010-03-01,NA
"Seattle","3 Bedroom",2010-03-01,272.074829931973
"Los Angeles","4 Bedroom",2010-03-01,NA
"San Francisco","4 Bedroom",2010-03-01,NA
"Seattle","4 Bedroom",2010-03-01,252.343434343434
"New York","5+ Bedroom",2010-03-01,227.5390625
"Los Angeles","5+ Bedroom",2010-03-01,NA
"San Francisco","5+ Bedroom",2010-03-01,NA
"Seattle","5+ Bedroom",2010-03-01,231.54386951631
"Los Angeles","All Homes",2010-03-01,NA
"San Francisco","All Homes",2010-03-01,NA
"Seattle","All Homes",2010-03-01,311.009174311927
"New York","Condominium",2010-03-01,NA
"Los Angeles","Condominium",2010-03-01,NA
"San Francisco","Condominium",2010-03-01,649.694189602446
"Seattle","Condominium",2010-03-01,358.056781157054
"New York","Single Family Residence",2010-03-01,NA
"Los Angeles","Single Family Residence",2010-03-01,NA
"San Francisco","Single Family Residence",2010-03-01,NA
"Seattle","Single Family Residence",2010-03-01,279.545454545455
"Los Angeles","1 Bedroom",2010-04-01,NA
"San Francisco","1 Bedroom",2010-04-01,668.260038240918
"Seattle","1 Bedroom",2010-04-01,390.424845026972
"Los Angeles","2 Bedroom",2010-04-01,NA
"San Francisco","2 Bedroom",2010-04-01,NA
"Seattle","2 Bedroom",2010-04-01,331.578947368421
"Los Angeles","3 Bedroom",2010-04-01,NA
"San Francisco","3 Bedroom",2010-04-01,NA
"Seattle","3 Bedroom",2010-04-01,271.278069407991
"Los Angeles","4 Bedroom",2010-04-01,NA
"San Francisco","4 Bedroom",2010-04-01,NA
"Seattle","4 Bedroom",2010-04-01,253.054610496823
"New York","5+ Bedroom",2010-04-01,229.61104140527
"Los Angeles","5+ Bedroom",2010-04-01,NA
"San Francisco","5+ Bedroom",2010-04-01,NA
"Seattle","5+ Bedroom",2010-04-01,227.694747806325
"Los Angeles","All Homes",2010-04-01,NA
"San Francisco","All Homes",2010-04-01,NA
"Seattle","All Homes",2010-04-01,305.065308661172
"New York","Condominium",2010-04-01,NA
"Los Angeles","Condominium",2010-04-01,NA
"San Francisco","Condominium",2010-04-01,653.035165026383
"Seattle","Condominium",2010-04-01,352.440347071584
"New York","Single Family Residence",2010-04-01,NA
"Los Angeles","Single Family Residence",2010-04-01,NA
"San Francisco","Single Family Residence",2010-04-01,NA
"Seattle","Single Family Residence",2010-04-01,275.919732441472
"Los Angeles","1 Bedroom",2010-05-01,NA
"San Francisco","1 Bedroom",2010-05-01,669.932998324958
"Seattle","1 Bedroom",2010-05-01,390.445158320034
"Los Angeles","2 Bedroom",2010-05-01,NA
"San Francisco","2 Bedroom",2010-05-01,NA
"Seattle","2 Bedroom",2010-05-01,331.578947368421
"Los Angeles","3 Bedroom",2010-05-01,NA
"San Francisco","3 Bedroom",2010-05-01,NA
"Seattle","3 Bedroom",2010-05-01,270.513698630137
"Los Angeles","4 Bedroom",2010-05-01,NA
"San Francisco","4 Bedroom",2010-05-01,NA
"Seattle","4 Bedroom",2010-05-01,255.757944257057
"New York","5+ Bedroom",2010-05-01,229.319852941176
"Los Angeles","5+ Bedroom",2010-05-01,NA
"San Francisco","5+ Bedroom",2010-05-01,NA
"Seattle","5+ Bedroom",2010-05-01,229.033077128323
"Los Angeles","All Homes",2010-05-01,NA
"San Francisco","All Homes",2010-05-01,NA
"Seattle","All Homes",2010-05-01,304.225828262339
"New York","Condominium",2010-05-01,NA
"Los Angeles","Condominium",2010-05-01,NA
