RegionName,State,Metro,CountyName,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03
New York,NY,New York,Queens,439999,439000,449000,439000,449999,469000,497000,535000,525000,525000,520000,535000,529000,540000,585000,559000,560000,585000,599000,588000,599000,599000,648000,665000,659000,670000,745000,749000,699999,759000,707000,715000,715000,699000,699000,715000,725000,718000,708888,735000,774950
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,549000,539000,529000,540000,539000,565000,575000,579000,589000,579000,579750,579000,569000,525000,535000,575000,599000,619000,638500,647250,640000,645000,645000,649000,649000,649000,649999,665000,675000,695000,689950,699000,699000,699000,699000,699000,709000,699925,705000,705450,725000
Chicago,IL,Chicago,Cook,219900,215000,205000,229900,247500,258950,259900,265000,265000,258900,250000,249900,239000,228000,224900,239000,249999.5,254500,259202,259000,254900,249900,249900,246000,240000,235000,235000,249000,264900,274000,275000,275000,270000,269000,270000,269900,265000,250000,255000,275000,289900
Houston,TX,Houston,Harris,,,,,,,,,,,,,,,,309000,315000,325000,319990,315000,325000,325000,325747.5,329500,329500,333900,335000,329900,334900,329950,329900,330000,329000,329000,323926,317005.5,315000,309995,301945,309900,314888
Philadelphia,PA,Philadelphia,Philadelphia,144900,142500,139900,139900,149900,159900,159900,159900,153700,149900,149900,149750,144900,134900,138500,144900,150000,159900,161900,159900,155000,150000,149900,149999,149900,143900,139900,139900,149750,155000,159900,159900,156900,150000,152000,158900,150000,149900,150000,152000,164900
Phoenix,AZ,Phoenix,Maricopa,190000,190000,189900,195000,2.00E+05,209000,214900,217500,215000,215000,219900,220000,214200,202945,219000,225000,230000,239000,240000,240000,235000,240000,240000,242925,245000,240245,245000,249900,250000,259888,259900,259900,255990,254000,250000,250000,249900,249500,249900,254900,255000
Las Vegas,NV,Las Vegas,Clark,175000,175000,170000,170000,175000,179000,179948,182500,180000,190000,195000,195000,189900,190000,190490,199900,201500,208000,215000,215000,215000,216999.5,219900,219900,220000,220000,219900,219000,220000,225000,229000,234900,237000,239000,240000,241000,244000,244900,247541,250000,255000
San Antonio,TX,San Antonio,Bexar,184900,187990,187946,189900,195000,195000,2.00E+05,198500,195900,199999.5,195900,193400,193000,199900,204900,209992.5,210000,220000,220000,225000,229500,229000,232000,228000,227500,227490,228000,216990,221000,222490,222992.5,225000,225000,225000,220000,224900,225000,220000,224283,227900,232443
San Diego,CA,San Diego,San Diego,459900,465000,464500,475000,480000,499900,470000,499000,525000,519900,515000,510000,520000,499000,499900,515000,540000,559000,575000,539900,575000,575000,575000,580000,584900,599000,589900,599000,599900,619000,629000,628000,629000,624949.5,617500,610000,6.00E+05,610000,619000,625000,630000
Dallas,TX,Dallas-Fort Worth,Dallas,247900,244990,227000,229999.5,245000,259900,269000,254000,259999.5,284900,255000,260000,249900,245450,250000,274900,289000,296000,299900,299900,293250,295000,311900,319900,324900,314950,315000,327000,350000,360000,365000,369250,374990,364900,369850,369000,369000,350000,359000,378990,390000
San Jose,CA,San Jose,Santa Clara,619000,610000,598000,603000,639800,649000,674956,672000,665000,662500,650000,649999,638800,619900,639250,679000,699000,7.00E+05,728000,749000,749000,748000,740940,738000,725000,718944,725000,750000,789000,795000,799000,799000,799000,788000,789884,794950,775000,770516,765000,780000,799999
Jacksonville,FL,Jacksonville,Duval,144900,139900,139899,142000,146945,149900,153990,155000,158900,159900,159500,155000,155000,144900,145900,150000,152900,157000,159900,159900,159900,161993.5,165000,159900,164000,159900,160000,157000,163500,169900,170000,175000,174900,169900,169000,168000,165000,164900,165990,170000,176000
San Francisco,CA,San Francisco,San Francisco,859450,889500,850000,889000,890000,899000,907000,925000,899000,875000,925000,949000,945000,925000,950000,998000,998000,1049000,1049000,1.00E+06,998000,998000,1050000,1059500,1050000,1047000,995000,1095000,1099000,1149000,1150000,1149000,1100000,1100000,1149000,1169000,1150000,1150000,1154400,1195000,1195000
Indianapolis,IN,Indianapolis,Marion,115000,114500,110900,114900,119900,123000,124900,125000,125000,124900,122500,120000,119000,114900,114900,115000,119900,122700,125000,125000,124900,120000,120000,119000,117900,114900,109900,109900,114900,118900,122900,124900,124900,123900,123000,124900,123000,119900,119900,122000,127900
Austin,TX,Austin,Travis,299990,299494,308000,320541,330000,348500,350000,350000,341990,345000,344995,343990,339500,346510,349900,350000,358445,367990,369900,369000,357500,362990,363450,365000,359000,362990,365990,367990,370000,377000,375000,389000,389900,380000,384900,380000,384900,375000,370000,384900,395000
