"RegionName","HousingType","Time","Value"
"New York","1 Bedroom",2010-01-01,NA
"Los Angeles","1 Bedroom",2010-01-01,NA
"San Francisco","1 Bedroom",2010-01-01,NA
"Seattle","1 Bedroom",2010-01-01,NA
"Los Angeles","2 Bedroom",2010-01-01,NA
"San Francisco","2 Bedroom",2010-01-01,NA
"Seattle","2 Bedroom",2010-01-01,350000
"Los Angeles","3 Bedroom",2010-01-01,NA
"San Francisco","3 Bedroom",2010-01-01,NA
"Seattle","3 Bedroom",2010-01-01,439000
"Los Angeles","4 Bedroom",2010-01-01,NA
"San Francisco","4 Bedroom",2010-01-01,NA
"Seattle","4 Bedroom",2010-01-01,561975
"New York","5+ Bedroom",2010-01-01,599000
"Los Angeles","5+ Bedroom",2010-01-01,NA
"Seattle","5+ Bedroom",2010-01-01,NA
"New York","All Homes",2010-01-01,NA
"Los Angeles","All Homes",2010-01-01,NA
"San Francisco","All Homes",2010-01-01,NA
"Seattle","All Homes",2010-01-01,379000
"New York","Condominium",2010-01-01,NA
"Los Angeles","Condominium",2010-01-01,NA
"San Francisco","Condominium",2010-01-01,699000
"Seattle","Condominium",2010-01-01,339000
"New York","Single Family Residence",2010-01-01,NA
"Los Angeles","Single Family Residence",2010-01-01,NA
"San Francisco","Single Family Residence",2010-01-01,NA
"Seattle","Single Family Residence",2010-01-01,NA
"New York","1 Bedroom",2010-02-01,NA
"Los Angeles","1 Bedroom",2010-02-01,NA
"San Francisco","1 Bedroom",2010-02-01,NA
"Seattle","1 Bedroom",2010-02-01,NA
"Los Angeles","2 Bedroom",2010-02-01,NA
"San Francisco","2 Bedroom",2010-02-01,NA
"Seattle","2 Bedroom",2010-02-01,354950
"Los Angeles","3 Bedroom",2010-02-01,NA
"San Francisco","3 Bedroom",2010-02-01,NA
"Seattle","3 Bedroom",2010-02-01,434975
"Los Angeles","4 Bedroom",2010-02-01,NA
"San Francisco","4 Bedroom",2010-02-01,NA
"Seattle","4 Bedroom",2010-02-01,569000
"New York","5+ Bedroom",2010-02-01,599000
"Los Angeles","5+ Bedroom",2010-02-01,NA
"Seattle","5+ Bedroom",2010-02-01,NA
"New York","All Homes",2010-02-01,NA
"Los Angeles","All Homes",2010-02-01,NA
"San Francisco","All Homes",2010-02-01,NA
"Seattle","All Homes",2010-02-01,379950
"New York","Condominium",2010-02-01,NA
"Los Angeles","Condominium",2010-02-01,NA
"San Francisco","Condominium",2010-02-01,699000
"Seattle","Condominium",2010-02-01,334950
"New York","Single Family Residence",2010-02-01,NA
"Los Angeles","Single Family Residence",2010-02-01,NA
"San Francisco","Single Family Residence",2010-02-01,NA
"Seattle","Single Family Residence",2010-02-01,NA
"New York","1 Bedroom",2010-03-01,NA
"Los Angeles","1 Bedroom",2010-03-01,NA
"San Francisco","1 Bedroom",2010-03-01,NA
"Seattle","1 Bedroom",2010-03-01,NA
"Los Angeles","2 Bedroom",2010-03-01,NA
"San Francisco","2 Bedroom",2010-03-01,NA
"Seattle","2 Bedroom",2010-03-01,344500
"Los Angeles","3 Bedroom",2010-03-01,NA
"San Francisco","3 Bedroom",2010-03-01,NA
"Seattle","3 Bedroom",2010-03-01,432000
"Los Angeles","4 Bedroom",2010-03-01,NA
"San Francisco","4 Bedroom",2010-03-01,NA
"Seattle","4 Bedroom",2010-03-01,575000
"New York","5+ Bedroom",2010-03-01,599000
"Los Angeles","5+ Bedroom",2010-03-01,NA
"Seattle","5+ Bedroom",2010-03-01,NA
"New York","All Homes",2010-03-01,NA
"Los Angeles","All Homes",2010-03-01,NA
"San Francisco","All Homes",2010-03-01,NA
"Seattle","All Homes",2010-03-01,379000
"New York","Condominium",2010-03-01,NA
"Los Angeles","Condominium",2010-03-01,NA
"San Francisco","Condominium",2010-03-01,699000
"Seattle","Condominium",2010-03-01,319990
"New York","Single Family Residence",2010-03-01,NA
"Los Angeles","Single Family Residence",2010-03-01,NA
"San Francisco","Single Family Residence",2010-03-01,NA
"Seattle","Single Family Residence",2010-03-01,NA
"New York","1 Bedroom",2010-04-01,NA
"Los Angeles","1 Bedroom",2010-04-01,NA
"San Francisco","1 Bedroom",2010-04-01,NA
"Seattle","1 Bedroom",2010-04-01,NA
"Los Angeles","2 Bedroom",2010-04-01,NA
"San Francisco","2 Bedroom",2010-04-01,NA
"Seattle","2 Bedroom",2010-04-01,339950
"Los Angeles","3 Bedroom",2010-04-01,NA
"San Francisco","3 Bedroom",2010-04-01,NA
"Seattle","3 Bedroom",2010-04-01,429950
"Los Angeles","4 Bedroom",2010-04-01,NA
"San Francisco","4 Bedroom",2010-04-01,NA
"Seattle","4 Bedroom",2010-04-01,549950
"New York","5+ Bedroom",2010-04-01,598000
"Los Angeles","5+ Bedroom",2010-04-01,NA
"Seattle","5+ Bedroom",2010-04-01,NA
"New York","All Homes",2010-04-01,NA
"Los Angeles","All Homes",2010-04-01,NA
"San Francisco","All Homes",2010-04-01,NA
"Seattle","All Homes",2010-04-01,375000
"New York","Condominium",2010-04-01,NA
"Los Angeles","Condominium",2010-04-01,NA
"San Francisco","Condominium",2010-04-01,699000
"Seattle","Condominium",2010-04-01,315000
"New York","Single Family Residence",2010-04-01,NA
"Los Angeles","Single Family Residence",2010-04-01,NA
"San Francisco","Single Family Residence",2010-04-01,NA
"Seattle","Single Family Residence",2010-04-01,NA
"New York","1 Bedroom",2010-05-01,NA
"Los Angeles","1 Bedroom",2010-05-01,NA
"San Francisco","1 Bedroom",2010-05-01,NA
"Seattle","1 Bedroom",2010-05-01,NA
"Los Angeles","2 Bedroom",2010-05-01,NA
"San Francisco","2 Bedroom",2010-05-01,NA
"Seattle","2 Bedroom",2010-05-01,339950
"Los Angeles","3 Bedroom",2010-05-01,NA
"San Francisco","3 Bedroom",2010-05-01,NA
"Seattle","3 Bedroom",2010-05-01,429000
"Los Angeles","4 Bedroom",2010-05-01,NA
"San Francisco","4 Bedroom",2010-05-01,NA
"Seattle","4 Bedroom",2010-05-01,554000
"New York","5+ Bedroom",2010-05-01,589000
"Los Angeles","5+ Bedroom",2010-05-01,NA
"Seattle","5+ Bedroom",2010-05-01,NA
"New York","All Homes",2010-05-01,NA
"Los Angeles","All Homes",2010-05-01,NA
"San Francisco","All Homes",2010-05-01,NA
"Seattle","All Homes",2010-05-01,379000
"New York","Condominium",2010-05-01,NA
"Los Angeles","Condominium",2010-05-01,NA
"San Francisco","Condominium",2010-05-01,695000
"Seattle","Condominium",2010-05-01,317750
"New York","Single Family Residence",2010-05-01,NA
"Los Angeles","Single Family Residence",2010-05-01,NA
"San Francisco","Single Family Residence",2010-05-01,NA
"Seattle","Single Family Residence",2010-05-01,NA
"New York","1 Bedroom",2010-06-01,NA
"Los Angeles","1 Bedroom",2010-06-01,NA
"San Francisco","1 Bedroom",2010-06-01,NA
"Seattle","1 Bedroom",2010-06-01,NA
"Los Angeles","2 Bedroom",2010-06-01,NA
"San Francisco","2 Bedroom",2010-06-01,NA
"Seattle","2 Bedroom",2010-06-01,349000
"Los Angeles","3 Bedroom",2010-06-01,NA
"San Francisco","3 Bedroom",2010-06-01,NA
"Seattle","3 Bedroom",2010-06-01,429900
"Los Angeles","4 Bedroom",2010-06-01,NA
"San Francisco","4 Bedroom",2010-06-01,NA
"Seattle","4 Bedroom",2010-06-01,549000
"New York","5+ Bedroom",2010-06-01,588000
"Los Angeles","5+ Bedroom",2010-06-01,NA
"Seattle","5+ Bedroom",2010-06-01,NA
"New York","All Homes",2010-06-01,NA
"Los Angeles","All Homes",2010-06-01,NA
"San Francisco","All Homes",2010-06-01,NA
"Seattle","All Homes",2010-06-01,380000
"New York","Condominium",2010-06-01,NA
"Los Angeles","Condominium",2010-06-01,NA
"San Francisco","Condominium",2010-06-01,689000
"Seattle","Condominium",2010-06-01,316000
"New York","Single Family Residence",2010-06-01,NA
"Los Angeles","Single Family Residence",2010-06-01,NA
"San Francisco","Single Family Residence",2010-06-01,NA
"Seattle","Single Family Residence",2010-06-01,NA
"New York","1 Bedroom",2010-07-01,NA
"Los Angeles","1 Bedroom",2010-07-01,NA
"San Francisco","1 Bedroom",2010-07-01,NA
"Seattle","1 Bedroom",2010-07-01,NA
"Los Angeles","2 Bedroom",2010-07-01,NA
"San Francisco","2 Bedroom",2010-07-01,NA
"Seattle","2 Bedroom",2010-07-01,347500
"Los Angeles","3 Bedroom",2010-07-01,NA
"San Francisco","3 Bedroom",2010-07-01,NA
"Seattle","3 Bedroom",2010-07-01,425000
"Los Angeles","4 Bedroom",2010-07-01,NA
"San Francisco","4 Bedroom",2010-07-01,NA
"Seattle","4 Bedroom",2010-07-01,535000
"New York","5+ Bedroom",2010-07-01,584450
"Los Angeles","5+ Bedroom",2010-07-01,NA
