"RegionName","HousingType","Time","Value"
"Los Angeles","1 Bedroom",2010-02-01,NA
"San Francisco","1 Bedroom",2010-02-01,NA
"Seattle","1 Bedroom",2010-02-01,NA
"Los Angeles","2 Bedroom",2010-02-01,NA
"San Francisco","2 Bedroom",2010-02-01,NA
"Los Angeles","3 Bedroom",2010-02-01,NA
"San Francisco","3 Bedroom",2010-02-01,NA
"Seattle","3 Bedroom",2010-02-01,NA
"Los Angeles","4 Bedroom",2010-02-01,NA
"Seattle","4 Bedroom",2010-02-01,NA
"New York","All Homes",2010-02-01,NA
"Los Angeles","All Homes",2010-02-01,NA
"San Francisco","All Homes",2010-02-01,NA
"Seattle","All Homes",2010-02-01,NA
"New York","Condominium",2010-02-01,NA
"Los Angeles","Condominium",2010-02-01,NA
"San Francisco","Condominium",2010-02-01,NA
"Seattle","Condominium",2010-02-01,NA
"Los Angeles","Single Family Residence",2010-02-01,NA
"San Francisco","Single Family Residence",2010-02-01,NA
"Seattle","Single Family Residence",2010-02-01,NA
"Los Angeles","1 Bedroom",2010-03-01,NA
"San Francisco","1 Bedroom",2010-03-01,NA
"Seattle","1 Bedroom",2010-03-01,NA
"Los Angeles","2 Bedroom",2010-03-01,1.60422476296709
"San Francisco","2 Bedroom",2010-03-01,NA
"Los Angeles","3 Bedroom",2010-03-01,1.55356056718177
"San Francisco","3 Bedroom",2010-03-01,NA
"Seattle","3 Bedroom",2010-03-01,NA
"Los Angeles","4 Bedroom",2010-03-01,1.48303308823529
"Seattle","4 Bedroom",2010-03-01,NA
"New York","All Homes",2010-03-01,NA
"Los Angeles","All Homes",2010-03-01,1.65654055964133
"San Francisco","All Homes",2010-03-01,NA
"Seattle","All Homes",2010-03-01,NA
"New York","Condominium",2010-03-01,NA
"Los Angeles","Condominium",2010-03-01,1.59010600706714
"San Francisco","Condominium",2010-03-01,NA
"Seattle","Condominium",2010-03-01,NA
"Los Angeles","Single Family Residence",2010-03-01,1.695
"San Francisco","Single Family Residence",2010-03-01,NA
"Seattle","Single Family Residence",2010-03-01,NA
"Los Angeles","1 Bedroom",2010-04-01,NA
"San Francisco","1 Bedroom",2010-04-01,NA
"Seattle","1 Bedroom",2010-04-01,NA
