"RegionName","HousingType","Time","Value"
"New York","1 Bedroom",2010-02-01,NA
"Los Angeles","1 Bedroom",2010-02-01,NA
"San Francisco","1 Bedroom",2010-02-01,NA
"Seattle","1 Bedroom",2010-02-01,NA
"New York","2 Bedroom",2010-02-01,NA
"Los Angeles","2 Bedroom",2010-02-01,1850
"San Francisco","2 Bedroom",2010-02-01,NA
"New York","3 Bedroom",2010-02-01,NA
"Los Angeles","3 Bedroom",2010-02-01,2374.5
"San Francisco","3 Bedroom",2010-02-01,NA
"Seattle","3 Bedroom",2010-02-01,NA
"New York","4 Bedroom",2010-02-01,NA
"Los Angeles","4 Bedroom",2010-02-01,NA
"Seattle","4 Bedroom",2010-02-01,NA
"New York","5+ Bedroom",2010-02-01,NA
"New York","All Homes",2010-02-01,NA
"Los Angeles","All Homes",2010-02-01,NA
"San Francisco","All Homes",2010-02-01,NA
"Seattle","All Homes",2010-02-01,NA
"New York","Condominium",2010-02-01,NA
"Los Angeles","Condominium",2010-02-01,NA
"San Francisco","Condominium",2010-02-01,NA
"Seattle","Condominium",2010-02-01,NA
"New York","Single Family Residence",2010-02-01,NA
"Los Angeles","Single Family Residence",2010-02-01,NA
"San Francisco","Single Family Residence",2010-02-01,NA
"Seattle","Single Family Residence",2010-02-01,NA
"New York","1 Bedroom",2010-03-01,NA
"Los Angeles","1 Bedroom",2010-03-01,NA
"San Francisco","1 Bedroom",2010-03-01,NA
"Seattle","1 Bedroom",2010-03-01,NA
"New York","2 Bedroom",2010-03-01,NA
"Los Angeles","2 Bedroom",2010-03-01,1850
"San Francisco","2 Bedroom",2010-03-01,NA
"New York","3 Bedroom",2010-03-01,NA
"Los Angeles","3 Bedroom",2010-03-01,2400
"San Francisco","3 Bedroom",2010-03-01,NA
"Seattle","3 Bedroom",2010-03-01,NA
"New York","4 Bedroom",2010-03-01,NA
"Los Angeles","4 Bedroom",2010-03-01,NA
"Seattle","4 Bedroom",2010-03-01,NA
"New York","5+ Bedroom",2010-03-01,NA
"New York","All Homes",2010-03-01,NA
"Los Angeles","All Homes",2010-03-01,NA
"San Francisco","All Homes",2010-03-01,NA
"Seattle","All Homes",2010-03-01,NA
"New York","Condominium",2010-03-01,NA
"Los Angeles","Condominium",2010-03-01,NA
"San Francisco","Condominium",2010-03-01,NA
"Seattle","Condominium",2010-03-01,NA
"New York","Single Family Residence",2010-03-01,NA
"Los Angeles","Single Family Residence",2010-03-01,NA
"San Francisco","Single Family Residence",2010-03-01,NA
"Seattle","Single Family Residence",2010-03-01,NA
"New York","1 Bedroom",2010-04-01,NA
"Los Angeles","1 Bedroom",2010-04-01,NA
"San Francisco","1 Bedroom",2010-04-01,NA
"Seattle","1 Bedroom",2010-04-01,NA
"New York","2 Bedroom",2010-04-01,NA
"Los Angeles","2 Bedroom",2010-04-01,2000
"San Francisco","2 Bedroom",2010-04-01,NA
"New York","3 Bedroom",2010-04-01,NA
"Los Angeles","3 Bedroom",2010-04-01,2448.5
"San Francisco","3 Bedroom",2010-04-01,NA
"Seattle","3 Bedroom",2010-04-01,NA
"New York","4 Bedroom",2010-04-01,NA
"Los Angeles","4 Bedroom",2010-04-01,NA
"Seattle","4 Bedroom",2010-04-01,NA
"New York","5+ Bedroom",2010-04-01,NA
"New York","All Homes",2010-04-01,NA
"Los Angeles","All Homes",2010-04-01,NA
"San Francisco","All Homes",2010-04-01,3275
"Seattle","All Homes",2010-04-01,NA
"New York","Condominium",2010-04-01,NA
"Los Angeles","Condominium",2010-04-01,NA
"San Francisco","Condominium",2010-04-01,NA
"Seattle","Condominium",2010-04-01,NA
"New York","Single Family Residence",2010-04-01,NA
"Los Angeles","Single Family Residence",2010-04-01,NA
"San Francisco","Single Family Residence",2010-04-01,NA
"Seattle","Single Family Residence",2010-04-01,NA
"New York","1 Bedroom",2010-05-01,2400
"Los Angeles","1 Bedroom",2010-05-01,NA
"San Francisco","1 Bedroom",2010-05-01,NA
"Seattle","1 Bedroom",2010-05-01,NA
"New York","2 Bedroom",2010-05-01,NA
"Los Angeles","2 Bedroom",2010-05-01,2100
"San Francisco","2 Bedroom",2010-05-01,NA
"New York","3 Bedroom",2010-05-01,NA
"Los Angeles","3 Bedroom",2010-05-01,2550
"San Francisco","3 Bedroom",2010-05-01,NA
"Seattle","3 Bedroom",2010-05-01,NA
"New York","4 Bedroom",2010-05-01,NA
"Los Angeles","4 Bedroom",2010-05-01,NA
