"RegionName","HousingType","Time","Value"
"New York","All Homes",1996-04-01,NA
"Los Angeles","All Homes",1996-04-01,110
"San Francisco","All Homes",1996-04-01,201
"Seattle","All Homes",1996-04-01,117
"New York","All Homes",1996-05-01,NA
"Los Angeles","All Homes",1996-05-01,109
"San Francisco","All Homes",1996-05-01,203
"Seattle","All Homes",1996-05-01,117
"New York","All Homes",1996-06-01,NA
"Los Angeles","All Homes",1996-06-01,109
"San Francisco","All Homes",1996-06-01,205
"Seattle","All Homes",1996-06-01,116
"New York","All Homes",1996-07-01,NA
"Los Angeles","All Homes",1996-07-01,109
"San Francisco","All Homes",1996-07-01,206
"Seattle","All Homes",1996-07-01,117
"New York","All Homes",1996-08-01,NA
"Los Angeles","All Homes",1996-08-01,109
"San Francisco","All Homes",1996-08-01,207
"Seattle","All Homes",1996-08-01,117
"New York","All Homes",1996-09-01,NA
"Los Angeles","All Homes",1996-09-01,109
"San Francisco","All Homes",1996-09-01,207
"Seattle","All Homes",1996-09-01,118
"New York","All Homes",1996-10-01,NA
"Los Angeles","All Homes",1996-10-01,109
"San Francisco","All Homes",1996-10-01,208
"Seattle","All Homes",1996-10-01,118
"New York","All Homes",1996-11-01,NA
"Los Angeles","All Homes",1996-11-01,109
"San Francisco","All Homes",1996-11-01,208
"Seattle","All Homes",1996-11-01,119
"New York","All Homes",1996-12-01,NA
"Los Angeles","All Homes",1996-12-01,110
"San Francisco","All Homes",1996-12-01,210
"Seattle","All Homes",1996-12-01,120
"New York","All Homes",1997-01-01,NA
"Los Angeles","All Homes",1997-01-01,110
"San Francisco","All Homes",1997-01-01,212
"Seattle","All Homes",1997-01-01,120
"New York","All Homes",1997-02-01,NA
"Los Angeles","All Homes",1997-02-01,111
"San Francisco","All Homes",1997-02-01,214
"Seattle","All Homes",1997-02-01,121
"New York","All Homes",1997-03-01,NA
"Los Angeles","All Homes",1997-03-01,112
"San Francisco","All Homes",1997-03-01,216
"Seattle","All Homes",1997-03-01,123
"New York","All Homes",1997-04-01,NA
"Los Angeles","All Homes",1997-04-01,112
"San Francisco","All Homes",1997-04-01,218
"Seattle","All Homes",1997-04-01,124
"New York","All Homes",1997-05-01,NA
"Los Angeles","All Homes",1997-05-01,112
"San Francisco","All Homes",1997-05-01,220
"Seattle","All Homes",1997-05-01,125
"New York","All Homes",1997-06-01,NA
"Los Angeles","All Homes",1997-06-01,113
"San Francisco","All Homes",1997-06-01,221
"Seattle","All Homes",1997-06-01,126
"New York","All Homes",1997-07-01,NA
"Los Angeles","All Homes",1997-07-01,113
"San Francisco","All Homes",1997-07-01,224
"Seattle","All Homes",1997-07-01,128
"New York","All Homes",1997-08-01,NA
"Los Angeles","All Homes",1997-08-01,113
"San Francisco","All Homes",1997-08-01,226
"Seattle","All Homes",1997-08-01,129
"New York","All Homes",1997-09-01,NA
"Los Angeles","All Homes",1997-09-01,114
"San Francisco","All Homes",1997-09-01,229
"Seattle","All Homes",1997-09-01,131
"New York","All Homes",1997-10-01,NA
"Los Angeles","All Homes",1997-10-01,114
"San Francisco","All Homes",1997-10-01,232
"Seattle","All Homes",1997-10-01,132
"New York","All Homes",1997-11-01,NA
"Los Angeles","All Homes",1997-11-01,116
"San Francisco","All Homes",1997-11-01,235
"Seattle","All Homes",1997-11-01,133
"New York","All Homes",1997-12-01,NA
"Los Angeles","All Homes",1997-12-01,117
"San Francisco","All Homes",1997-12-01,238
"Seattle","All Homes",1997-12-01,135
"New York","All Homes",1998-01-01,NA
"Los Angeles","All Homes",1998-01-01,118
"San Francisco","All Homes",1998-01-01,242
"Seattle","All Homes",1998-01-01,136
"New York","All Homes",1998-02-01,NA
"Los Angeles","All Homes",1998-02-01,119
"San Francisco","All Homes",1998-02-01,246
"Seattle","All Homes",1998-02-01,138
"New York","All Homes",1998-03-01,NA
"Los Angeles","All Homes",1998-03-01,120
"San Francisco","All Homes",1998-03-01,248
"Seattle","All Homes",1998-03-01,140
"New York","All Homes",1998-04-01,NA
"Los Angeles","All Homes",1998-04-01,121
"San Francisco","All Homes",1998-04-01,250
"Seattle","All Homes",1998-04-01,142
"New York","All Homes",1998-05-01,NA
"Los Angeles","All Homes",1998-05-01,122
"San Francisco","All Homes",1998-05-01,251
"Seattle","All Homes",1998-05-01,144
"New York","All Homes",1998-06-01,NA
"Los Angeles","All Homes",1998-06-01,123
"San Francisco","All Homes",1998-06-01,253
"Seattle","All Homes",1998-06-01,146
"New York","All Homes",1998-07-01,NA
"Los Angeles","All Homes",1998-07-01,124
"San Francisco","All Homes",1998-07-01,255
"Seattle","All Homes",1998-07-01,148
"New York","All Homes",1998-08-01,NA
"Los Angeles","All Homes",1998-08-01,125
"San Francisco","All Homes",1998-08-01,257
"Seattle","All Homes",1998-08-01,149
"New York","All Homes",1998-09-01,NA
"Los Angeles","All Homes",1998-09-01,126
"San Francisco","All Homes",1998-09-01,258
"Seattle","All Homes",1998-09-01,152
"New York","All Homes",1998-10-01,NA
"Los Angeles","All Homes",1998-10-01,127
"San Francisco","All Homes",1998-10-01,261
"Seattle","All Homes",1998-10-01,153
"New York","All Homes",1998-11-01,NA
"Los Angeles","All Homes",1998-11-01,129
"San Francisco","All Homes",1998-11-01,263
"Seattle","All Homes",1998-11-01,154
"New York","All Homes",1998-12-01,NA
"Los Angeles","All Homes",1998-12-01,130
"San Francisco","All Homes",1998-12-01,266
"Seattle","All Homes",1998-12-01,156
"New York","All Homes",1999-01-01,NA
"Los Angeles","All Homes",1999-01-01,131
"San Francisco","All Homes",1999-01-01,268
"Seattle","All Homes",1999-01-01,157
"New York","All Homes",1999-02-01,NA
"Los Angeles","All Homes",1999-02-01,132
"San Francisco","All Homes",1999-02-01,269
"Seattle","All Homes",1999-02-01,159
"New York","All Homes",1999-03-01,NA
"Los Angeles","All Homes",1999-03-01,132
"San Francisco","All Homes",1999-03-01,271
"Seattle","All Homes",1999-03-01,160
"New York","All Homes",1999-04-01,NA
