"RegionName","HousingType","Time","Value"
"New York","All Homes",2010-10-01,18.72
"Los Angeles","All Homes",2010-10-01,15.15
"San Francisco","All Homes",2010-10-01,18.35
"Seattle","All Homes",2010-10-01,17.74
"New York","All Homes",2010-11-01,18.72
"Los Angeles","All Homes",2010-11-01,15.06
"San Francisco","All Homes",2010-11-01,17.96
"Seattle","All Homes",2010-11-01,17.7
"New York","All Homes",2010-12-01,18.6
"Los Angeles","All Homes",2010-12-01,15.01
"San Francisco","All Homes",2010-12-01,17.6
"Seattle","All Homes",2010-12-01,17.61
"New York","All Homes",2011-01-01,18.71
"Los Angeles","All Homes",2011-01-01,14.93
"San Francisco","All Homes",2011-01-01,18.42
"Seattle","All Homes",2011-01-01,17.47
"New York","All Homes",2011-02-01,18.97
"Los Angeles","All Homes",2011-02-01,14.77
"San Francisco","All Homes",2011-02-01,19.05
"Seattle","All Homes",2011-02-01,17.48
"New York","All Homes",2011-03-01,19.12
"Los Angeles","All Homes",2011-03-01,14.71
"San Francisco","All Homes",2011-03-01,19.47
"Seattle","All Homes",2011-03-01,17.52
"New York","All Homes",2011-04-01,19.18
"Los Angeles","All Homes",2011-04-01,14.68
"San Francisco","All Homes",2011-04-01,19.74
"Seattle","All Homes",2011-04-01,17.49
"New York","All Homes",2011-05-01,19.17
"Los Angeles","All Homes",2011-05-01,14.58
"San Francisco","All Homes",2011-05-01,19.8
"Seattle","All Homes",2011-05-01,17.4
"New York","All Homes",2011-06-01,19.03
"Los Angeles","All Homes",2011-06-01,14.46
"San Francisco","All Homes",2011-06-01,19.65
"Seattle","All Homes",2011-06-01,17.27
"New York","All Homes",2011-07-01,18.94
"Los Angeles","All Homes",2011-07-01,14.32
"San Francisco","All Homes",2011-07-01,19.56
"Seattle","All Homes",2011-07-01,17.07
"New York","All Homes",2011-08-01,18.99
"Los Angeles","All Homes",2011-08-01,14.23
"San Francisco","All Homes",2011-08-01,19.3
"Seattle","All Homes",2011-08-01,16.95
"New York","All Homes",2011-09-01,18.99
"Los Angeles","All Homes",2011-09-01,14.14
"San Francisco","All Homes",2011-09-01,19.15
"Seattle","All Homes",2011-09-01,16.85
"New York","All Homes",2011-10-01,19.01
"Los Angeles","All Homes",2011-10-01,14.17
"San Francisco","All Homes",2011-10-01,19.01
"Seattle","All Homes",2011-10-01,16.89
"New York","All Homes",2011-11-01,19.03
"Los Angeles","All Homes",2011-11-01,14.18
"San Francisco","All Homes",2011-11-01,18.95
"Seattle","All Homes",2011-11-01,16.92
"New York","All Homes",2011-12-01,18.98
"Los Angeles","All Homes",2011-12-01,14.21
"San Francisco","All Homes",2011-12-01,18.81
"Seattle","All Homes",2011-12-01,16.9
"New York","All Homes",2012-01-01,18.97
