"RegionName","HousingType","Time","Value"
"New York","1 Bedroom",1996-04-01,NA
"Los Angeles","1 Bedroom",1996-04-01,96100
"San Francisco","1 Bedroom",1996-04-01,198600
"Seattle","1 Bedroom",1996-04-01,108400
"New York","2 Bedroom",1996-04-01,NA
"Los Angeles","2 Bedroom",1996-04-01,127800
"San Francisco","2 Bedroom",1996-04-01,255000
"Seattle","2 Bedroom",1996-04-01,145700
"New York","3 Bedroom",1996-04-01,163500
"Los Angeles","3 Bedroom",1996-04-01,153700
"San Francisco","3 Bedroom",1996-04-01,285600
"Seattle","3 Bedroom",1996-04-01,173400
"New York","4 Bedroom",1996-04-01,191200
"Los Angeles","4 Bedroom",1996-04-01,212400
"San Francisco","4 Bedroom",1996-04-01,321600
"Seattle","4 Bedroom",1996-04-01,203900
"New York","5+ Bedroom",1996-04-01,NA
"Los Angeles","5+ Bedroom",1996-04-01,383500
"San Francisco","5+ Bedroom",1996-04-01,368400
"Seattle","5+ Bedroom",1996-04-01,225500
"New York","All Homes",1996-04-01,NA
"Los Angeles","All Homes",1996-04-01,155000
"San Francisco","All Homes",1996-04-01,262500
"Seattle","All Homes",1996-04-01,164400
"New York","Condominium",1996-04-01,NA
"Los Angeles","Condominium",1996-04-01,132500
"San Francisco","Condominium",1996-04-01,264600
"Seattle","Condominium",1996-04-01,135100
"New York","Single Family Residence",1996-04-01,NA
"Los Angeles","Single Family Residence",1996-04-01,161900
"San Francisco","Single Family Residence",1996-04-01,261300
"Seattle","Single Family Residence",1996-04-01,173400
"New York","1 Bedroom",1996-05-01,NA
"Los Angeles","1 Bedroom",1996-05-01,94500
"San Francisco","1 Bedroom",1996-05-01,200000
"Seattle","1 Bedroom",1996-05-01,108500
"New York","2 Bedroom",1996-05-01,NA
"Los Angeles","2 Bedroom",1996-05-01,127400
"San Francisco","2 Bedroom",1996-05-01,256900
"Seattle","2 Bedroom",1996-05-01,145700
"New York","3 Bedroom",1996-05-01,163500
"Los Angeles","3 Bedroom",1996-05-01,153500
"San Francisco","3 Bedroom",1996-05-01,287000
"Seattle","3 Bedroom",1996-05-01,172700
"New York","4 Bedroom",1996-05-01,192200
"Los Angeles","4 Bedroom",1996-05-01,212000
"San Francisco","4 Bedroom",1996-05-01,323200
"Seattle","4 Bedroom",1996-05-01,202800
"New York","5+ Bedroom",1996-05-01,NA
"Los Angeles","5+ Bedroom",1996-05-01,385600
"San Francisco","5+ Bedroom",1996-05-01,375100
"Seattle","5+ Bedroom",1996-05-01,225100
"New York","All Homes",1996-05-01,NA
"Los Angeles","All Homes",1996-05-01,154600
"San Francisco","All Homes",1996-05-01,263500
"Seattle","All Homes",1996-05-01,163900
"New York","Condominium",1996-05-01,NA
"Los Angeles","Condominium",1996-05-01,130600
"San Francisco","Condominium",1996-05-01,263700
"Seattle","Condominium",1996-05-01,134900
"New York","Single Family Residence",1996-05-01,NA
"Los Angeles","Single Family Residence",1996-05-01,161700
"San Francisco","Single Family Residence",1996-05-01,263400
"Seattle","Single Family Residence",1996-05-01,172600
"New York","1 Bedroom",1996-06-01,NA
"Los Angeles","1 Bedroom",1996-06-01,93600
"San Francisco","1 Bedroom",1996-06-01,200600
"Seattle","1 Bedroom",1996-06-01,108800
"New York","2 Bedroom",1996-06-01,NA
"Los Angeles","2 Bedroom",1996-06-01,126900
"San Francisco","2 Bedroom",1996-06-01,257700
"Seattle","2 Bedroom",1996-06-01,145500
"New York","3 Bedroom",1996-06-01,162900
"Los Angeles","3 Bedroom",1996-06-01,153400
"San Francisco","3 Bedroom",1996-06-01,288800
"Seattle","3 Bedroom",1996-06-01,172500
"New York","4 Bedroom",1996-06-01,191900
"Los Angeles","4 Bedroom",1996-06-01,211000
"San Francisco","4 Bedroom",1996-06-01,325800
"Seattle","4 Bedroom",1996-06-01,201800
"New York","5+ Bedroom",1996-06-01,NA
"Los Angeles","5+ Bedroom",1996-06-01,384900
"San Francisco","5+ Bedroom",1996-06-01,382300
"Seattle","5+ Bedroom",1996-06-01,224500
"New York","All Homes",1996-06-01,NA
"Los Angeles","All Homes",1996-06-01,154400
"San Francisco","All Homes",1996-06-01,264100
"Seattle","All Homes",1996-06-01,163600
"New York","Condominium",1996-06-01,NA
"Los Angeles","Condominium",1996-06-01,128800
"San Francisco","Condominium",1996-06-01,261700
"Seattle","Condominium",1996-06-01,135300
"New York","Single Family Residence",1996-06-01,NA
"Los Angeles","Single Family Residence",1996-06-01,161600
"San Francisco","Single Family Residence",1996-06-01,265300
"Seattle","Single Family Residence",1996-06-01,172100
"New York","1 Bedroom",1996-07-01,NA
"Los Angeles","1 Bedroom",1996-07-01,93600
"San Francisco","1 Bedroom",1996-07-01,200700
"Seattle","1 Bedroom",1996-07-01,109200
"New York","2 Bedroom",1996-07-01,NA
"Los Angeles","2 Bedroom",1996-07-01,126300
"San Francisco","2 Bedroom",1996-07-01,258300
"Seattle","2 Bedroom",1996-07-01,145400
"New York","3 Bedroom",1996-07-01,162300
"Los Angeles","3 Bedroom",1996-07-01,153300
"San Francisco","3 Bedroom",1996-07-01,290800
"Seattle","3 Bedroom",1996-07-01,172800
"New York","4 Bedroom",1996-07-01,191300
"Los Angeles","4 Bedroom",1996-07-01,209900
"San Francisco","4 Bedroom",1996-07-01,328200
"Seattle","4 Bedroom",1996-07-01,201400
"New York","5+ Bedroom",1996-07-01,NA
"Los Angeles","5+ Bedroom",1996-07-01,382900
"San Francisco","5+ Bedroom",1996-07-01,388700
"Seattle","5+ Bedroom",1996-07-01,223900
"New York","All Homes",1996-07-01,NA
"Los Angeles","All Homes",1996-07-01,154200
"San Francisco","All Homes",1996-07-01,265000
"Seattle","All Homes",1996-07-01,163400
"New York","Condominium",1996-07-01,NA
