"RegionName","City","HousingType","Time","Value"
"Upper West Side","New York","1 Bedroom",2010-01-01,NA
"Upper East Side","New York","1 Bedroom",2010-01-01,831.425598335068
"Hollywood","Los Angeles","1 Bedroom",2010-01-01,NA
"Williamsburg","New York","1 Bedroom",2010-01-01,NA
"Bedford Stuyvesant","New York","1 Bedroom",2010-01-01,NA
"Harlem","New York","1 Bedroom",2010-01-01,NA
"Lower East Side","New York","1 Bedroom",2010-01-01,NA
"Forest Hills","New York","1 Bedroom",2010-01-01,NA
"Gramercy","New York","1 Bedroom",2010-01-01,NA
"Rego Park","New York","1 Bedroom",2010-01-01,NA
"Downtown","Los Angeles","1 Bedroom",2010-01-01,NA
"Clinton","New York","1 Bedroom",2010-01-01,NA
"Financial District","New York","1 Bedroom",2010-01-01,NA
"Flatiron District","New York","1 Bedroom",2010-01-01,NA
"Columbus Circle","New York","1 Bedroom",2010-01-01,NA
"Sutton Place","New York","1 Bedroom",2010-01-01,NA
"Turtle Bay","New York","1 Bedroom",2010-01-01,NA
"Midtown","New York","1 Bedroom",2010-01-01,NA
"Spuyten Duyvil","New York","1 Bedroom",2010-01-01,254.808429118774
"North Riverdale","New York","1 Bedroom",2010-01-01,NA
"Hunters Point","New York","1 Bedroom",2010-01-01,NA
"Red Hook","New York","1 Bedroom",2010-01-01,NA
"Downtown","New York","1 Bedroom",2010-01-01,NA
"Upper West Side","New York","2 Bedroom",2010-01-01,1104.41767068273
"Sherman Oaks","Los Angeles","2 Bedroom",2010-01-01,NA
"South Los Angeles","Los Angeles","2 Bedroom",2010-01-01,NA
"Upper East Side","New York","2 Bedroom",2010-01-01,NA
"Southeast Los Angeles","Los Angeles","2 Bedroom",2010-01-01,NA
"Van Nuys","Los Angeles","2 Bedroom",2010-01-01,NA
"Astoria","New York","2 Bedroom",2010-01-01,NA
"Hollywood","Los Angeles","2 Bedroom",2010-01-01,NA
"Williamsburg","New York","2 Bedroom",2010-01-01,NA
"Bedford Stuyvesant","New York","2 Bedroom",2010-01-01,NA
"Harlem","New York","2 Bedroom",2010-01-01,NA
"North Hollywood","Los Angeles","2 Bedroom",2010-01-01,NA
"Mid City","Los Angeles","2 Bedroom",2010-01-01,NA
"Koreatown","Los Angeles","2 Bedroom",2010-01-01,NA
"Lower East Side","New York","2 Bedroom",2010-01-01,NA
"Sylmar","Los Angeles","2 Bedroom",2010-01-01,NA
"San Pedro","Los Angeles","2 Bedroom",2010-01-01,303.350818707716
"Forest Hills","New York","2 Bedroom",2010-01-01,NA
"Park Slope","New York","2 Bedroom",2010-01-01,NA
"Westwood","Los Angeles","2 Bedroom",2010-01-01,510.964912280702
"Chelsea","New York","2 Bedroom",2010-01-01,NA
"Woodland Hills","Los Angeles","2 Bedroom",2010-01-01,272.857142857143
"Highland Park","Los Angeles","2 Bedroom",2010-01-01,NA
"Mid City West","Los Angeles","2 Bedroom",2010-01-01,NA
"Encino","Los Angeles","2 Bedroom",2010-01-01,NA
"El Sereno","Los Angeles","2 Bedroom",2010-01-01,NA
"Mid Wilshire","Los Angeles","2 Bedroom",2010-01-01,NA
"Tarzana","Los Angeles","2 Bedroom",2010-01-01,NA
"Silver Lake","Los Angeles","2 Bedroom",2010-01-01,NA
"Hyde Park","Los Angeles","2 Bedroom",2010-01-01,NA
"Studio City","Los Angeles","2 Bedroom",2010-01-01,NA
"Del Rey","Los Angeles","2 Bedroom",2010-01-01,NA
"Venice","Los Angeles","2 Bedroom",2010-01-01,608.832807570978
"Brentwood","Los Angeles","2 Bedroom",2010-01-01,492.142857142857
"Hollywood Hills","Los Angeles","2 Bedroom",2010-01-01,NA
"Clinton","New York","2 Bedroom",2010-01-01,NA
"Financial District","New York","2 Bedroom",2010-01-01,NA
"Brighton Beach","New York","2 Bedroom",2010-01-01,NA
"Flatiron District","New York","2 Bedroom",2010-01-01,NA
"Columbus Circle","New York","2 Bedroom",2010-01-01,NA
"Turtle Bay","New York","2 Bedroom",2010-01-01,NA
"Midtown","New York","2 Bedroom",2010-01-01,NA
"Tribeca","New York","2 Bedroom",2010-01-01,NA
"Spuyten Duyvil","New York","2 Bedroom",2010-01-01,NA
"Riverdale","New York","2 Bedroom",2010-01-01,NA
"South Beach","San Francisco","2 Bedroom",2010-01-01,NA
"SoHo","New York","2 Bedroom",2010-01-01,NA
"Hunters Point","New York","2 Bedroom",2010-01-01,NA
"Downtown","New York","2 Bedroom",2010-01-01,NA
"DUMBO","New York","2 Bedroom",2010-01-01,NA
"Upper West Side","New York","3 Bedroom",2010-01-01,1269.9620796308
"Sherman Oaks","Los Angeles","3 Bedroom",2010-01-01,366.274201988488
"South Los Angeles","Los Angeles","3 Bedroom",2010-01-01,NA
"Upper East Side","New York","3 Bedroom",2010-01-01,NA
"Southeast Los Angeles","Los Angeles","3 Bedroom",2010-01-01,NA
"Van Nuys","Los Angeles","3 Bedroom",2010-01-01,NA
"Hollywood","Los Angeles","3 Bedroom",2010-01-01,NA
"Williamsburg","New York","3 Bedroom",2010-01-01,NA
"North Hollywood","Los Angeles","3 Bedroom",2010-01-01,NA
"Mid City","Los Angeles","3 Bedroom",2010-01-01,NA
"Sun Valley","Los Angeles","3 Bedroom",2010-01-01,NA
"Sylmar","Los Angeles","3 Bedroom",2010-01-01,NA
"Sheepshead Bay","New York","3 Bedroom",2010-01-01,NA
"Northridge","Los Angeles","3 Bedroom",2010-01-01,NA
"San Pedro","Los Angeles","3 Bedroom",2010-01-01,305.513016845329
"Reseda","Los Angeles","3 Bedroom",2010-01-01,NA
"Panorama City","Los Angeles","3 Bedroom",2010-01-01,NA
"North Hills","Los Angeles","3 Bedroom",2010-01-01,NA
"Westwood","Los Angeles","3 Bedroom",2010-01-01,NA
"Granada Hills","Los Angeles","3 Bedroom",2010-01-01,NA
"Winnetka","Los Angeles","3 Bedroom",2010-01-01,NA
"Chelsea","New York","3 Bedroom",2010-01-01,NA
"Woodland Hills","Los Angeles","3 Bedroom",2010-01-01,NA
"Mid City West","Los Angeles","3 Bedroom",2010-01-01,NA
"Encino","Los Angeles","3 Bedroom",2010-01-01,365.418216160254
"Mar Vista","Los Angeles","3 Bedroom",2010-01-01,NA
"Watts","Los Angeles","3 Bedroom",2010-01-01,NA
"Tarzana","Los Angeles","3 Bedroom",2010-01-01,NA
"Chatsworth","Los Angeles","3 Bedroom",2010-01-01,NA
"Arleta","Los Angeles","3 Bedroom",2010-01-01,NA
"Silver Lake","Los Angeles","3 Bedroom",2010-01-01,NA
