"RegionName","City","HousingType","Time","Value"
"Upper West Side","New York","1 Bedroom",2010-02-01,NA
"Hollywood","Los Angeles","1 Bedroom",2010-02-01,NA
"Harlem","New York","1 Bedroom",2010-02-01,NA
"East Harlem","New York","1 Bedroom",2010-02-01,NA
"Westlake","Los Angeles","1 Bedroom",2010-02-01,NA
"Forest Hills","New York","1 Bedroom",2010-02-01,NA
"Westwood","Los Angeles","1 Bedroom",2010-02-01,NA
"Gramercy","New York","1 Bedroom",2010-02-01,NA
"Chelsea","New York","1 Bedroom",2010-02-01,NA
"Woodland Hills","Los Angeles","1 Bedroom",2010-02-01,NA
"Palms","Los Angeles","1 Bedroom",2010-02-01,NA
"Rego Park","New York","1 Bedroom",2010-02-01,NA
"Downtown","Los Angeles","1 Bedroom",2010-02-01,NA
"Capitol Hill","Seattle","1 Bedroom",2010-02-01,NA
"Clinton","New York","1 Bedroom",2010-02-01,NA
"Financial District","New York","1 Bedroom",2010-02-01,NA
"Flatiron District","New York","1 Bedroom",2010-02-01,NA
"Columbus Circle","New York","1 Bedroom",2010-02-01,NA
"Sutton Place","New York","1 Bedroom",2010-02-01,NA
"South of Market","San Francisco","1 Bedroom",2010-02-01,NA
"Midtown","New York","1 Bedroom",2010-02-01,NA
"Tribeca","New York","1 Bedroom",2010-02-01,NA
"Spuyten Duyvil","New York","1 Bedroom",2010-02-01,NA
"Tudor City","New York","1 Bedroom",2010-02-01,NA
"Battery Park","New York","1 Bedroom",2010-02-01,NA
"South Beach","San Francisco","1 Bedroom",2010-02-01,NA
"First Hill","Seattle","1 Bedroom",2010-02-01,NA
"Hunters Point","New York","1 Bedroom",2010-02-01,NA
"Belltown","Seattle","1 Bedroom",2010-02-01,NA
"Ballard","Seattle","1 Bedroom",2010-02-01,NA
"Uptown","Seattle","1 Bedroom",2010-02-01,NA
"Denny Triangle","Seattle","1 Bedroom",2010-02-01,NA
"South Lake Union","Seattle","1 Bedroom",2010-02-01,NA
"Upper West Side","New York","2 Bedroom",2010-02-01,NA
