"RegionName","City","HousingType","Time","Value","lon","lat"
"Admiral","Seattle","All Homes",2010-10-01,18.43,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2010-11-01,18.5,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2010-12-01,18.47,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-01-01,18.33,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-02-01,18.33,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-03-01,18.46,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-04-01,18.42,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-05-01,18.39,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-06-01,18.39,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-07-01,18.25,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-08-01,18.42,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-09-01,18.43,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-10-01,18.52,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-11-01,18.51,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2011-12-01,18.47,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-01-01,18.51,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-02-01,18.63,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-03-01,18.7,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-04-01,18.97,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-05-01,19.32,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-06-01,19.56,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-07-01,19.41,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-08-01,19.4,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-09-01,19.32,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-10-01,19.21,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-11-01,19.44,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2012-12-01,19.4,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-01-01,19.61,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-02-01,19.87,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-03-01,20.05,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-04-01,20.37,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-05-01,20.48,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-06-01,20.41,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-07-01,20.23,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-08-01,20.19,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-09-01,20.24,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-10-01,20.15,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-11-01,19.75,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2013-12-01,19.6,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-01-01,19.65,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-02-01,19.92,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-03-01,20.21,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-04-01,20.3,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-05-01,20.54,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-06-01,20.73,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-07-01,20.12,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-08-01,19.81,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-09-01,19.44,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-10-01,19.29,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-11-01,19.28,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2014-12-01,19.13,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-01-01,18.86,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-02-01,19.26,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-03-01,19.06,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-04-01,19.84,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-05-01,19.66,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-06-01,19.58,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-07-01,19.35,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-08-01,19.36,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-09-01,19.4,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-10-01,19.66,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-11-01,19.61,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2015-12-01,19.45,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-01-01,19.44,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-02-01,19.59,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-03-01,19.86,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-04-01,20.11,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-05-01,20.81,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-06-01,20.62,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-07-01,20.71,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-08-01,20.45,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-09-01,20.63,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-10-01,20.73,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-11-01,20.99,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2016-12-01,21.38,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2017-01-01,21.58,-122.3865604,47.5812134
"Admiral","Seattle","All Homes",2017-02-01,21.65,-122.3865604,47.5812134
"Alki","Seattle","All Homes",2010-10-01,19.35,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2010-11-01,19.35,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2010-12-01,19.44,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-01-01,19.48,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-02-01,19.34,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-03-01,19.23,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-04-01,19.25,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-05-01,19.1,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-06-01,18.93,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-07-01,18.73,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-08-01,18.72,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-09-01,18.71,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-10-01,18.88,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-11-01,19,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2011-12-01,18.96,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-01-01,19.03,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-02-01,19.07,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-03-01,19.29,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-04-01,19.56,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-05-01,19.62,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-06-01,19.75,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-07-01,19.58,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-08-01,19.68,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-09-01,19.75,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-10-01,19.93,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-11-01,20.22,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2012-12-01,20.12,-122.4106578,47.5754629
"Alki","Seattle","All Homes",2013-01-01,20.31,-122.4106578,47.5754629
