"RegionName","City","HousingType","Time","Value"
10002,"New York","1 Bedroom",2010-01-01,NA
11375,"New York","1 Bedroom",2010-01-01,NA
10128,"New York","1 Bedroom",2010-01-01,NA
10011,"New York","1 Bedroom",2010-01-01,NA
10462,"New York","1 Bedroom",2010-01-01,177.811550151976
10463,"New York","1 Bedroom",2010-01-01,253.222222222222
11209,"New York","1 Bedroom",2010-01-01,310.133928571429
11201,"New York","1 Bedroom",2010-01-01,NA
10019,"New York","1 Bedroom",2010-01-01,1058.99877149877
11211,"New York","1 Bedroom",2010-01-01,NA
10021,"New York","1 Bedroom",2010-01-01,904.686868686869
11374,"New York","1 Bedroom",2010-01-01,NA
10010,"New York","1 Bedroom",2010-01-01,NA
94107,"San Francisco","1 Bedroom",2010-01-01,NA
11101,"New York","1 Bedroom",2010-01-01,NA
11231,"New York","1 Bedroom",2010-01-01,NA
11249,"New York","1 Bedroom",2010-01-01,NA
10471,"New York","1 Bedroom",2010-01-01,241.428571428571
90015,"Los Angeles","1 Bedroom",2010-01-01,NA
10005,"New York","1 Bedroom",2010-01-01,NA
10006,"New York","1 Bedroom",2010-01-01,NA
10023,"New York","2 Bedroom",2010-01-01,NA
10002,"New York","2 Bedroom",2010-01-01,NA
94109,"San Francisco","2 Bedroom",2010-01-01,NA
11375,"New York","2 Bedroom",2010-01-01,NA
10016,"New York","2 Bedroom",2010-01-01,NA
11235,"New York","2 Bedroom",2010-01-01,401.785714285714
10128,"New York","2 Bedroom",2010-01-01,NA
10011,"New York","2 Bedroom",2010-01-01,NA
90046,"Los Angeles","2 Bedroom",2010-01-01,565.123789020452
10003,"New York","2 Bedroom",2010-01-01,NA
10463,"New York","2 Bedroom",2010-01-01,285.619047619048
11201,"New York","2 Bedroom",2010-01-01,NA
90044,"Los Angeles","2 Bedroom",2010-01-01,NA
10019,"New York","2 Bedroom",2010-01-01,NA
90026,"Los Angeles","2 Bedroom",2010-01-01,NA
11215,"New York","2 Bedroom",2010-01-01,NA
11211,"New York","2 Bedroom",2010-01-01,NA
90019,"Los Angeles","2 Bedroom",2010-01-01,NA
98103,"Seattle","2 Bedroom",2010-01-01,335.890257558791
10027,"New York","2 Bedroom",2010-01-01,NA
90004,"Los Angeles","2 Bedroom",2010-01-01,NA
11238,"New York","2 Bedroom",2010-01-01,NA
91342,"Los Angeles","2 Bedroom",2010-01-01,NA
10021,"New York","2 Bedroom",2010-01-01,NA
90025,"Los Angeles","2 Bedroom",2010-01-01,437.53979721004
90731,"Los Angeles","2 Bedroom",2010-01-01,NA
91335,"Los Angeles","2 Bedroom",2010-01-01,NA
98115,"Seattle","2 Bedroom",2010-01-01,NA
90042,"Los Angeles","2 Bedroom",2010-01-01,NA
90024,"Los Angeles","2 Bedroom",2010-01-01,529.901589704769
91367,"Los Angeles","2 Bedroom",2010-01-01,260.707635009311
90049,"Los Angeles","2 Bedroom",2010-01-01,493.368725868726
91406,"Los Angeles","2 Bedroom",2010-01-01,NA
10022,"New York","2 Bedroom",2010-01-01,NA
98118,"Seattle","2 Bedroom",2010-01-01,NA
91601,"Los Angeles","2 Bedroom",2010-01-01,NA
91405,"Los Angeles","2 Bedroom",2010-01-01,NA
90003,"Los Angeles","2 Bedroom",2010-01-01,NA
90047,"Los Angeles","2 Bedroom",2010-01-01,NA
90016,"Los Angeles","2 Bedroom",2010-01-01,NA
90043,"Los Angeles","2 Bedroom",2010-01-01,NA
10065,"New York","2 Bedroom",2010-01-01,NA
94107,"San Francisco","2 Bedroom",2010-01-01,NA
90291,"Los Angeles","2 Bedroom",2010-01-01,NA
91423,"Los Angeles","2 Bedroom",2010-01-01,NA
90292,"Los Angeles","2 Bedroom",2010-01-01,447.586584702266
91604,"Los Angeles","2 Bedroom",2010-01-01,NA
10013,"New York","2 Bedroom",2010-01-01,NA
11101,"New York","2 Bedroom",2010-01-01,NA
10012,"New York","2 Bedroom",2010-01-01,NA
11249,"New York","2 Bedroom",2010-01-01,NA
90068,"Los Angeles","2 Bedroom",2010-01-01,NA
90032,"Los Angeles","2 Bedroom",2010-01-01,NA
98144,"Seattle","2 Bedroom",2010-01-01,NA
98116,"Seattle","2 Bedroom",2010-01-01,NA
91316,"Los Angeles","2 Bedroom",2010-01-01,NA
98119,"Seattle","2 Bedroom",2010-01-01,NA
90002,"Los Angeles","2 Bedroom",2010-01-01,NA
91403,"Los Angeles","2 Bedroom",2010-01-01,NA
98106,"Seattle","2 Bedroom",2010-01-01,NA
98126,"Seattle","2 Bedroom",2010-01-01,NA
90062,"Los Angeles","2 Bedroom",2010-01-01,NA
10471,"New York","2 Bedroom",2010-01-01,NA
90732,"Los Angeles","2 Bedroom",2010-01-01,NA
90015,"Los Angeles","2 Bedroom",2010-01-01,NA
94105,"San Francisco","2 Bedroom",2010-01-01,NA
10005,"New York","2 Bedroom",2010-01-01,NA
10007,"New York","2 Bedroom",2010-01-01,NA
10006,"New York","2 Bedroom",2010-01-01,NA
10023,"New York","3 Bedroom",2010-01-01,NA
11235,"New York","3 Bedroom",2010-01-01,433.514246947083
10011,"New York","3 Bedroom",2010-01-01,NA
90046,"Los Angeles","3 Bedroom",2010-01-01,599.424322379468
11201,"New York","3 Bedroom",2010-01-01,NA
11229,"New York","3 Bedroom",2010-01-01,NA
90044,"Los Angeles","3 Bedroom",2010-01-01,NA
11234,"New York","3 Bedroom",2010-01-01,343.749375
10019,"New York","3 Bedroom",2010-01-01,NA
90026,"Los Angeles","3 Bedroom",2010-01-01,NA
10314,"New York","3 Bedroom",2010-01-01,263.584752635848
90066,"Los Angeles","3 Bedroom",2010-01-01,NA
90019,"Los Angeles","3 Bedroom",2010-01-01,NA
11236,"New York","3 Bedroom",2010-01-01,284.423076923077
98103,"Seattle","3 Bedroom",2010-01-01,NA
