"RegionName","City","HousingType","Time","Value"
10025,"New York","1 Bedroom",2010-02-01,NA
10023,"New York","1 Bedroom",2010-02-01,NA
94109,"San Francisco","1 Bedroom",2010-02-01,NA
11375,"New York","1 Bedroom",2010-02-01,NA
10016,"New York","1 Bedroom",2010-02-01,NA
10029,"New York","1 Bedroom",2010-02-01,NA
90046,"Los Angeles","1 Bedroom",2010-02-01,NA
10463,"New York","1 Bedroom",2010-02-01,NA
10024,"New York","1 Bedroom",2010-02-01,NA
11214,"New York","1 Bedroom",2010-02-01,NA
90034,"Los Angeles","1 Bedroom",2010-02-01,NA
10019,"New York","1 Bedroom",2010-02-01,NA
11368,"New York","1 Bedroom",2010-02-01,NA
90036,"Los Angeles","1 Bedroom",2010-02-01,NA
11374,"New York","1 Bedroom",2010-02-01,NA
98122,"Seattle","1 Bedroom",2010-02-01,NA
10010,"New York","1 Bedroom",2010-02-01,NA
90028,"Los Angeles","1 Bedroom",2010-02-01,NA
94102,"San Francisco","1 Bedroom",2010-02-01,NA
10022,"New York","1 Bedroom",2010-02-01,NA
98105,"Seattle","1 Bedroom",2010-02-01,NA
10065,"New York","1 Bedroom",2010-02-01,NA
98109,"Seattle","1 Bedroom",2010-02-01,NA
11435,"New York","1 Bedroom",2010-02-01,NA
98102,"Seattle","1 Bedroom",2010-02-01,NA
94107,"San Francisco","1 Bedroom",2010-02-01,NA
90292,"Los Angeles","1 Bedroom",2010-02-01,NA
94103,"San Francisco","1 Bedroom",2010-02-01,NA
11102,"New York","1 Bedroom",2010-02-01,NA
10001,"New York","1 Bedroom",2010-02-01,NA
98107,"Seattle","1 Bedroom",2010-02-01,NA
98119,"Seattle","1 Bedroom",2010-02-01,NA
90012,"Los Angeles","1 Bedroom",2010-02-01,NA
98121,"Seattle","1 Bedroom",2010-02-01,NA
90017,"Los Angeles","1 Bedroom",2010-02-01,NA
10038,"New York","1 Bedroom",2010-02-01,NA
10037,"New York","1 Bedroom",2010-02-01,NA
98101,"Seattle","1 Bedroom",2010-02-01,NA
90015,"Los Angeles","1 Bedroom",2010-02-01,NA
98104,"Seattle","1 Bedroom",2010-02-01,NA
94105,"San Francisco","1 Bedroom",2010-02-01,NA
10005,"New York","1 Bedroom",2010-02-01,NA
10018,"New York","1 Bedroom",2010-02-01,NA
11109,"New York","1 Bedroom",2010-02-01,NA
10282,"New York","1 Bedroom",2010-02-01,NA
10006,"New York","1 Bedroom",2010-02-01,NA
10004,"New York","1 Bedroom",2010-02-01,NA
10023,"New York","2 Bedroom",2010-02-01,NA
94109,"San Francisco","2 Bedroom",2010-02-01,NA
11375,"New York","2 Bedroom",2010-02-01,NA
10016,"New York","2 Bedroom",2010-02-01,NA
10463,"New York","2 Bedroom",2010-02-01,NA
90034,"Los Angeles","2 Bedroom",2010-02-01,NA
10019,"New York","2 Bedroom",2010-02-01,NA
90066,"Los Angeles","2 Bedroom",2010-02-01,NA
90025,"Los Angeles","2 Bedroom",2010-02-01,NA
98115,"Seattle","2 Bedroom",2010-02-01,NA
90036,"Los Angeles","2 Bedroom",2010-02-01,NA
98122,"Seattle","2 Bedroom",2010-02-01,NA
90024,"Los Angeles","2 Bedroom",2010-02-01,NA
10010,"New York","2 Bedroom",2010-02-01,NA
91367,"Los Angeles","2 Bedroom",2010-02-01,NA
90049,"Los Angeles","2 Bedroom",2010-02-01,NA
10022,"New York","2 Bedroom",2010-02-01,NA
91601,"Los Angeles","2 Bedroom",2010-02-01,NA
10065,"New York","2 Bedroom",2010-02-01,NA
98109,"Seattle","2 Bedroom",2010-02-01,NA
98102,"Seattle","2 Bedroom",2010-02-01,NA
94107,"San Francisco","2 Bedroom",2010-02-01,NA
90292,"Los Angeles","2 Bedroom",2010-02-01,NA
91604,"Los Angeles","2 Bedroom",2010-02-01,NA
10001,"New York","2 Bedroom",2010-02-01,NA
90048,"Los Angeles","2 Bedroom",2010-02-01,NA
98119,"Seattle","2 Bedroom",2010-02-01,NA
98121,"Seattle","2 Bedroom",2010-02-01,NA
90017,"Los Angeles","2 Bedroom",2010-02-01,NA
10038,"New York","2 Bedroom",2010-02-01,NA
94105,"San Francisco","2 Bedroom",2010-02-01,NA
11109,"New York","2 Bedroom",2010-02-01,NA
10282,"New York","2 Bedroom",2010-02-01,NA
10016,"New York","3 Bedroom",2010-02-01,NA
11209,"New York","3 Bedroom",2010-02-01,NA
10024,"New York","3 Bedroom",2010-02-01,NA
11214,"New York","3 Bedroom",2010-02-01,NA
10025,"New York","All Homes",2010-02-01,NA
10023,"New York","All Homes",2010-02-01,NA
94109,"San Francisco","All Homes",2010-02-01,NA
11375,"New York","All Homes",2010-02-01,NA
10016,"New York","All Homes",2010-02-01,NA
10029,"New York","All Homes",2010-02-01,NA
10462,"New York","All Homes",2010-02-01,NA
10463,"New York","All Homes",2010-02-01,NA
10019,"New York","All Homes",2010-02-01,NA
11211,"New York","All Homes",2010-02-01,NA
90066,"Los Angeles","All Homes",2010-02-01,NA
