"RegionName","City","HousingType","Time","Value","lon","lat"
10001,"New York","1 Bedroom",2010-04-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2010-04-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2010-04-01,NA,-73.9991637,40.7536854
10001,"New York","Condominium",2010-04-01,NA,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2010-04-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2010-05-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2010-05-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2010-05-01,NA,-73.9991637,40.7536854
10001,"New York","Condominium",2010-05-01,NA,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2010-05-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2010-06-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2010-06-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2010-06-01,NA,-73.9991637,40.7536854
10001,"New York","Condominium",2010-06-01,NA,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2010-06-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2010-07-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2010-07-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2010-07-01,NA,-73.9991637,40.7536854
10001,"New York","Condominium",2010-07-01,NA,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2010-07-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2010-08-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2010-08-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2010-08-01,NA,-73.9991637,40.7536854
10001,"New York","Condominium",2010-08-01,NA,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2010-08-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2010-09-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2010-09-01,NA,-73.9991637,40.7536854
