"RegionName","City","HousingType","Time","Value"
10025,"New York","All Homes",1996-04-01,NA
10023,"New York","All Homes",1996-04-01,NA
10002,"New York","All Homes",1996-04-01,NA
94109,"San Francisco","All Homes",1996-04-01,279
11226,"New York","All Homes",1996-04-01,NA
11375,"New York","All Homes",1996-04-01,NA
11235,"New York","All Homes",1996-04-01,NA
10009,"New York","All Homes",1996-04-01,NA
10029,"New York","All Homes",1996-04-01,NA
10128,"New York","All Homes",1996-04-01,NA
90046,"Los Angeles","All Homes",1996-04-01,168
10462,"New York","All Homes",1996-04-01,NA
10456,"New York","All Homes",1996-04-01,NA
11206,"New York","All Homes",1996-04-01,NA
11201,"New York","All Homes",1996-04-01,NA
11212,"New York","All Homes",1996-04-01,NA
10024,"New York","All Homes",1996-04-01,NA
11214,"New York","All Homes",1996-04-01,NA
94110,"San Francisco","All Homes",1996-04-01,NA
90034,"Los Angeles","All Homes",1996-04-01,156
11377,"New York","All Homes",1996-04-01,NA
90044,"Los Angeles","All Homes",1996-04-01,95
11234,"New York","All Homes",1996-04-01,NA
11207,"New York","All Homes",1996-04-01,NA
11355,"New York","All Homes",1996-04-01,NA
90026,"Los Angeles","All Homes",1996-04-01,116
10314,"New York","All Homes",1996-04-01,101
11215,"New York","All Homes",1996-04-01,NA
11221,"New York","All Homes",1996-04-01,NA
11211,"New York","All Homes",1996-04-01,NA
90066,"Los Angeles","All Homes",1996-04-01,170
11385,"New York","All Homes",1996-04-01,NA
90019,"Los Angeles","All Homes",1996-04-01,NA
98103,"Seattle","All Homes",1996-04-01,124
10457,"New York","All Homes",1996-04-01,NA
90004,"Los Angeles","All Homes",1996-04-01,132
11238,"New York","All Homes",1996-04-01,NA
11372,"New York","All Homes",1996-04-01,NA
11233,"New York","All Homes",1996-04-01,NA
91342,"Los Angeles","All Homes",1996-04-01,NA
11223,"New York","All Homes",1996-04-01,NA
90011,"Los Angeles","All Homes",1996-04-01,NA
90025,"Los Angeles","All Homes",1996-04-01,135
90027,"Los Angeles","All Homes",1996-04-01,143
90731,"Los Angeles","All Homes",1996-04-01,126
91335,"Los Angeles","All Homes",1996-04-01,89
11208,"New York","All Homes",1996-04-01,NA
94122,"San Francisco","All Homes",1996-04-01,183
11204,"New York","All Homes",1996-04-01,NA
10032,"New York","All Homes",1996-04-01,NA
11219,"New York","All Homes",1996-04-01,NA
11225,"New York","All Homes",1996-04-01,NA
11213,"New York","All Homes",1996-04-01,NA
11368,"New York","All Homes",1996-04-01,NA
11203,"New York","All Homes",1996-04-01,NA
98115,"Seattle","All Homes",1996-04-01,114
10031,"New York","All Homes",1996-04-01,NA
10014,"New York","All Homes",1996-04-01,NA
94112,"San Francisco","All Homes",1996-04-01,162
11216,"New York","All Homes",1996-04-01,NA
90036,"Los Angeles","All Homes",1996-04-01,141
91331,"Los Angeles","All Homes",1996-04-01,94
90042,"Los Angeles","All Homes",1996-04-01,108
11354,"New York","All Homes",1996-04-01,NA
11374,"New York","All Homes",1996-04-01,NA
10033,"New York","All Homes",1996-04-01,NA
11210,"New York","All Homes",1996-04-01,NA
90006,"Los Angeles","All Homes",1996-04-01,96
98122,"Seattle","All Homes",1996-04-01,129
90024,"Los Angeles","All Homes",1996-04-01,186
11434,"New York","All Homes",1996-04-01,NA
94115,"San Francisco","All Homes",1996-04-01,273
11224,"New York","All Homes",1996-04-01,NA
10306,"New York","All Homes",1996-04-01,121
11691,"New York","All Homes",1996-04-01,NA
98125,"Seattle","All Homes",1996-04-01,102
94117,"San Francisco","All Homes",1996-04-01,NA
91402,"Los Angeles","All Homes",1996-04-01,85
91367,"Los Angeles","All Homes",1996-04-01,110
94121,"San Francisco","All Homes",1996-04-01,199
10312,"New York","All Homes",1996-04-01,111
90049,"Los Angeles","All Homes",1996-04-01,237
91406,"Los Angeles","All Homes",1996-04-01,91
90020,"Los Angeles","All Homes",1996-04-01,110
90028,"Los Angeles","All Homes",1996-04-01,111
94102,"San Francisco","All Homes",1996-04-01,232
94118,"San Francisco","All Homes",1996-04-01,219
98118,"Seattle","All Homes",1996-04-01,87
91601,"Los Angeles","All Homes",1996-04-01,117
11432,"New York","All Homes",1996-04-01,NA
91405,"Los Angeles","All Homes",1996-04-01,87
90003,"Los Angeles","All Homes",1996-04-01,96
90047,"Los Angeles","All Homes",1996-04-01,95
91343,"Los Angeles","All Homes",1996-04-01,90
90018,"Los Angeles","All Homes",1996-04-01,NA
90016,"Los Angeles","All Homes",1996-04-01,99
91304,"Los Angeles","All Homes",1996-04-01,103
90043,"Los Angeles","All Homes",1996-04-01,103
94114,"San Francisco","All Homes",1996-04-01,250
98105,"Seattle","All Homes",1996-04-01,129
90037,"Los Angeles","All Homes",1996-04-01,NA
90045,"Los Angeles","All Homes",1996-04-01,161
10065,"New York","All Homes",1996-04-01,NA
90005,"Los Angeles","All Homes",1996-04-01,112
91344,"Los Angeles","All Homes",1996-04-01,99
11222,"New York","All Homes",1996-04-01,NA
10459,"New York","All Homes",1996-04-01,NA
90057,"Los Angeles","All Homes",1996-04-01,NA
98109,"Seattle","All Homes",1996-04-01,151
11435,"New York","All Homes",1996-04-01,NA
10034,"New York","All Homes",1996-04-01,NA
91605,"Los Angeles","All Homes",1996-04-01,90
98102,"Seattle","All Homes",1996-04-01,148
11205,"New York","All Homes",1996-04-01,NA
94107,"San Francisco","All Homes",1996-04-01,233
90029,"Los Angeles","All Homes",1996-04-01,NA
10026,"New York","All Homes",1996-04-01,NA
90291,"Los Angeles","All Homes",1996-04-01,187
91606,"Los Angeles","All Homes",1996-04-01,100
90065,"Los Angeles","All Homes",1996-04-01,118
91423,"Los Angeles","All Homes",1996-04-01,130
94116,"San Francisco","All Homes",1996-04-01,189
11217,"New York","All Homes",1996-04-01,NA
11237,"New York","All Homes",1996-04-01,NA
11365,"New York","All Homes",1996-04-01,NA
90292,"Los Angeles","All Homes",1996-04-01,152
11103,"New York","All Homes",1996-04-01,NA
11367,"New York","All Homes",1996-04-01,NA
90008,"Los Angeles","All Homes",1996-04-01,NA
94123,"San Francisco","All Homes",1996-04-01,307
91604,"Los Angeles","All Homes",1996-04-01,153
91401,"Los Angeles","All Homes",1996-04-01,NA
94103,"San Francisco","All Homes",1996-04-01,209
10035,"New York","All Homes",1996-04-01,NA
10075,"New York","All Homes",1996-04-01,NA
11102,"New York","All Homes",1996-04-01,NA
11101,"New York","All Homes",1996-04-01,NA
11231,"New York","All Homes",1996-04-01,NA
10301,"New York","All Homes",1996-04-01,110
90035,"Los Angeles","All Homes",1996-04-01,NA
98117,"Seattle","All Homes",1996-04-01,117
91306,"Los Angeles","All Homes",1996-04-01,NA
10001,"New York","All Homes",1996-04-01,NA
90744,"Los Angeles","All Homes",1996-04-01,105
91607,"Los Angeles","All Homes",1996-04-01,112
90048,"Los Angeles","All Homes",1996-04-01,150
10304,"New York","All Homes",1996-04-01,105
91311,"Los Angeles","All Homes",1996-04-01,98
11249,"New York","All Homes",1996-04-01,NA
90007,"Los Angeles","All Homes",1996-04-01,NA
94131,"San Francisco","All Homes",1996-04-01,227
10305,"New York","All Homes",1996-04-01,106
90068,"Los Angeles","All Homes",1996-04-01,158
90032,"Los Angeles","All Homes",1996-04-01,105
11357,"New York","All Homes",1996-04-01,NA
98107,"Seattle","All Homes",1996-04-01,129
94133,"San Francisco","All Homes",1996-04-01,313
90033,"Los Angeles","All Homes",1996-04-01,NA
11105,"New York","All Homes",1996-04-01,NA
98144,"Seattle","All Homes",1996-04-01,106
11364,"New York","All Homes",1996-04-01,NA
98116,"Seattle","All Homes",1996-04-01,127
91316,"Los Angeles","All Homes",1996-04-01,105
90038,"Los Angeles","All Homes",1996-04-01,117
91326,"Los Angeles","All Homes",1996-04-01,107
90064,"Los Angeles","All Homes",1996-04-01,176
98119,"Seattle","All Homes",1996-04-01,142
11104,"New York","All Homes",1996-04-01,NA
90002,"Los Angeles","All Homes",1996-04-01,95
11358,"New York","All Homes",1996-04-01,NA
90039,"Los Angeles","All Homes",1996-04-01,128
10030,"New York","All Homes",1996-04-01,NA
91325,"Los Angeles","All Homes",1996-04-01,NA
90012,"Los Angeles","All Homes",1996-04-01,99
91403,"Los Angeles","All Homes",1996-04-01,135
91356,"Los Angeles","All Homes",1996-04-01,121
91352,"Los Angeles","All Homes",1996-04-01,97
90031,"Los Angeles","All Homes",1996-04-01,99
98121,"Seattle","All Homes",1996-04-01,170
94134,"San Francisco","All Homes",1996-04-01,146
90017,"Los Angeles","All Homes",1996-04-01,108
10039,"New York","All Homes",1996-04-01,NA
90023,"Los Angeles","All Homes",1996-04-01,114
11228,"New York","All Homes",1996-04-01,NA
10038,"New York","All Homes",1996-04-01,NA
94132,"San Francisco","All Homes",1996-04-01,177
11379,"New York","All Homes",1996-04-01,NA
11413,"New York","All Homes",1996-04-01,NA
98106,"Seattle","All Homes",1996-04-01,87
98112,"Seattle","All Homes",1996-04-01,142
91364,"Los Angeles","All Homes",1996-04-01,130
94124,"San Francisco","All Homes",1996-04-01,128
90041,"Los Angeles","All Homes",1996-04-01,127
11420,"New York","All Homes",1996-04-01,NA
90059,"Los Angeles","All Homes",1996-04-01,95
11414,"New York","All Homes",1996-04-01,NA
91042,"Los Angeles","All Homes",1996-04-01,102
98126,"Seattle","All Homes",1996-04-01,104
91602,"Los Angeles","All Homes",1996-04-01,120
98101,"Seattle","All Homes",1996-04-01,168
10309,"New York","All Homes",1996-04-01,95
90272,"Los Angeles","All Homes",1996-04-01,260
91303,"Los Angeles","All Homes",1996-04-01,99
11412,"New York","All Homes",1996-04-01,NA
11361,"New York","All Homes",1996-04-01,NA
91324,"Los Angeles","All Homes",1996-04-01,94
98199,"Seattle","All Homes",1996-04-01,128
90062,"Los Angeles","All Homes",1996-04-01,87
11421,"New York","All Homes",1996-04-01,NA
90710,"Los Angeles","All Homes",1996-04-01,109
11378,"New York","All Homes",1996-04-01,NA
91411,"Los Angeles","All Homes",1996-04-01,103
11419,"New York","All Homes",1996-04-01,NA
11433,"New York","All Homes",1996-04-01,NA
10308,"New York","All Homes",1996-04-01,118
11418,"New York","All Homes",1996-04-01,NA
11415,"New York","All Homes",1996-04-01,NA
90732,"Los Angeles","All Homes",1996-04-01,127
90015,"Los Angeles","All Homes",1996-04-01,NA
91307,"Los Angeles","All Homes",1996-04-01,109
98108,"Seattle","All Homes",1996-04-01,80
11423,"New York","All Homes",1996-04-01,NA
98104,"Seattle","All Homes",1996-04-01,147
11369,"New York","All Homes",1996-04-01,NA
10310,"New York","All Homes",1996-04-01,103
94127,"San Francisco","All Homes",1996-04-01,205
10303,"New York","All Homes",1996-04-01,85
11694,"New York","All Homes",1996-04-01,NA
11422,"New York","All Homes",1996-04-01,NA
90061,"Los Angeles","All Homes",1996-04-01,NA
91040,"Los Angeles","All Homes",1996-04-01,105
94108,"San Francisco","All Homes",1996-04-01,310
11232,"New York","All Homes",1996-04-01,NA
98136,"Seattle","All Homes",1996-04-01,116
11417,"New York","All Homes",1996-04-01,NA
11427,"New York","All Homes",1996-04-01,NA
11692,"New York","All Homes",1996-04-01,NA
90293,"Los Angeles","All Homes",1996-04-01,130
11370,"New York","All Homes",1996-04-01,NA
11356,"New York","All Homes",1996-04-01,NA
94105,"San Francisco","All Homes",1996-04-01,254
90013,"Los Angeles","All Homes",1996-04-01,101
11429,"New York","All Homes",1996-04-01,NA
11362,"New York","All Homes",1996-04-01,NA
91436,"Los Angeles","All Homes",1996-04-01,154
11411,"New York","All Homes",1996-04-01,NA
10470,"New York","All Homes",1996-04-01,NA
11426,"New York","All Homes",1996-04-01,NA
10005,"New York","All Homes",1996-04-01,NA
10018,"New York","All Homes",1996-04-01,NA
10302,"New York","All Homes",1996-04-01,90
11428,"New York","All Homes",1996-04-01,NA
91345,"Los Angeles","All Homes",1996-04-01,90
11693,"New York","All Homes",1996-04-01,NA
11004,"New York","All Homes",1996-04-01,NA
10280,"New York","All Homes",1996-04-01,NA
11436,"New York","All Homes",1996-04-01,NA
11416,"New York","All Homes",1996-04-01,NA
94158,"San Francisco","All Homes",1996-04-01,229
11366,"New York","All Homes",1996-04-01,NA
10307,"New York","All Homes",1996-04-01,110
90077,"Los Angeles","All Homes",1996-04-01,234
10069,"New York","All Homes",1996-04-01,NA
90248,"Los Angeles","All Homes",1996-04-01,NA
90094,"Los Angeles","All Homes",1996-04-01,139
10007,"New York","All Homes",1996-04-01,NA
11363,"New York","All Homes",1996-04-01,NA
10006,"New York","All Homes",1996-04-01,NA
94111,"San Francisco","All Homes",1996-04-01,280
10004,"New York","All Homes",1996-04-01,NA
10464,"New York","All Homes",1996-04-01,NA
90067,"Los Angeles","All Homes",1996-04-01,188
90010,"Los Angeles","All Homes",1996-04-01,107
10025,"New York","All Homes",1996-05-01,NA
10023,"New York","All Homes",1996-05-01,NA
10002,"New York","All Homes",1996-05-01,NA
94109,"San Francisco","All Homes",1996-05-01,281
11226,"New York","All Homes",1996-05-01,NA
11375,"New York","All Homes",1996-05-01,NA
11235,"New York","All Homes",1996-05-01,NA
10009,"New York","All Homes",1996-05-01,NA
10029,"New York","All Homes",1996-05-01,NA
10128,"New York","All Homes",1996-05-01,NA
90046,"Los Angeles","All Homes",1996-05-01,170
10462,"New York","All Homes",1996-05-01,NA
10456,"New York","All Homes",1996-05-01,NA
11206,"New York","All Homes",1996-05-01,NA
11201,"New York","All Homes",1996-05-01,NA
11212,"New York","All Homes",1996-05-01,NA
10024,"New York","All Homes",1996-05-01,NA
11214,"New York","All Homes",1996-05-01,NA
94110,"San Francisco","All Homes",1996-05-01,NA
90034,"Los Angeles","All Homes",1996-05-01,155
11377,"New York","All Homes",1996-05-01,NA
90044,"Los Angeles","All Homes",1996-05-01,95
11234,"New York","All Homes",1996-05-01,NA
11207,"New York","All Homes",1996-05-01,NA
11355,"New York","All Homes",1996-05-01,NA
90026,"Los Angeles","All Homes",1996-05-01,115
10314,"New York","All Homes",1996-05-01,101
11215,"New York","All Homes",1996-05-01,NA
11221,"New York","All Homes",1996-05-01,NA
11211,"New York","All Homes",1996-05-01,NA
90066,"Los Angeles","All Homes",1996-05-01,169
11385,"New York","All Homes",1996-05-01,NA
90019,"Los Angeles","All Homes",1996-05-01,NA
98103,"Seattle","All Homes",1996-05-01,124
10457,"New York","All Homes",1996-05-01,NA
90004,"Los Angeles","All Homes",1996-05-01,132
11238,"New York","All Homes",1996-05-01,NA
11372,"New York","All Homes",1996-05-01,NA
11233,"New York","All Homes",1996-05-01,NA
91342,"Los Angeles","All Homes",1996-05-01,NA
11223,"New York","All Homes",1996-05-01,NA
90011,"Los Angeles","All Homes",1996-05-01,NA
90025,"Los Angeles","All Homes",1996-05-01,135
90027,"Los Angeles","All Homes",1996-05-01,144
90731,"Los Angeles","All Homes",1996-05-01,126
91335,"Los Angeles","All Homes",1996-05-01,88
11208,"New York","All Homes",1996-05-01,NA
94122,"San Francisco","All Homes",1996-05-01,185
11204,"New York","All Homes",1996-05-01,NA
10032,"New York","All Homes",1996-05-01,NA
11219,"New York","All Homes",1996-05-01,NA
11225,"New York","All Homes",1996-05-01,NA
11213,"New York","All Homes",1996-05-01,NA
11368,"New York","All Homes",1996-05-01,NA
11203,"New York","All Homes",1996-05-01,NA
98115,"Seattle","All Homes",1996-05-01,114
10031,"New York","All Homes",1996-05-01,NA
10014,"New York","All Homes",1996-05-01,NA
94112,"San Francisco","All Homes",1996-05-01,161
11216,"New York","All Homes",1996-05-01,NA
90036,"Los Angeles","All Homes",1996-05-01,140
91331,"Los Angeles","All Homes",1996-05-01,94
90042,"Los Angeles","All Homes",1996-05-01,107
11354,"New York","All Homes",1996-05-01,NA
11374,"New York","All Homes",1996-05-01,NA
10033,"New York","All Homes",1996-05-01,NA
11210,"New York","All Homes",1996-05-01,NA
90006,"Los Angeles","All Homes",1996-05-01,96
98122,"Seattle","All Homes",1996-05-01,129
90024,"Los Angeles","All Homes",1996-05-01,183
11434,"New York","All Homes",1996-05-01,NA
94115,"San Francisco","All Homes",1996-05-01,275
11224,"New York","All Homes",1996-05-01,NA
10306,"New York","All Homes",1996-05-01,121
11691,"New York","All Homes",1996-05-01,NA
98125,"Seattle","All Homes",1996-05-01,101
94117,"San Francisco","All Homes",1996-05-01,NA
91402,"Los Angeles","All Homes",1996-05-01,85
91367,"Los Angeles","All Homes",1996-05-01,109
94121,"San Francisco","All Homes",1996-05-01,200
10312,"New York","All Homes",1996-05-01,110
90049,"Los Angeles","All Homes",1996-05-01,240
91406,"Los Angeles","All Homes",1996-05-01,91
90020,"Los Angeles","All Homes",1996-05-01,108
90028,"Los Angeles","All Homes",1996-05-01,110
94102,"San Francisco","All Homes",1996-05-01,229
94118,"San Francisco","All Homes",1996-05-01,223
98118,"Seattle","All Homes",1996-05-01,86
91601,"Los Angeles","All Homes",1996-05-01,118
11432,"New York","All Homes",1996-05-01,NA
91405,"Los Angeles","All Homes",1996-05-01,86
90003,"Los Angeles","All Homes",1996-05-01,96
90047,"Los Angeles","All Homes",1996-05-01,97
91343,"Los Angeles","All Homes",1996-05-01,90
90018,"Los Angeles","All Homes",1996-05-01,NA
90016,"Los Angeles","All Homes",1996-05-01,100
91304,"Los Angeles","All Homes",1996-05-01,104
90043,"Los Angeles","All Homes",1996-05-01,104
94114,"San Francisco","All Homes",1996-05-01,252
98105,"Seattle","All Homes",1996-05-01,128
90037,"Los Angeles","All Homes",1996-05-01,NA
90045,"Los Angeles","All Homes",1996-05-01,161
10065,"New York","All Homes",1996-05-01,NA
90005,"Los Angeles","All Homes",1996-05-01,111
91344,"Los Angeles","All Homes",1996-05-01,99
11222,"New York","All Homes",1996-05-01,NA
10459,"New York","All Homes",1996-05-01,NA
90057,"Los Angeles","All Homes",1996-05-01,NA
98109,"Seattle","All Homes",1996-05-01,151
11435,"New York","All Homes",1996-05-01,NA
10034,"New York","All Homes",1996-05-01,NA
91605,"Los Angeles","All Homes",1996-05-01,90
98102,"Seattle","All Homes",1996-05-01,147
11205,"New York","All Homes",1996-05-01,NA
94107,"San Francisco","All Homes",1996-05-01,239
90029,"Los Angeles","All Homes",1996-05-01,NA
10026,"New York","All Homes",1996-05-01,NA
90291,"Los Angeles","All Homes",1996-05-01,186
91606,"Los Angeles","All Homes",1996-05-01,99
90065,"Los Angeles","All Homes",1996-05-01,118
91423,"Los Angeles","All Homes",1996-05-01,132
94116,"San Francisco","All Homes",1996-05-01,191
11217,"New York","All Homes",1996-05-01,NA
11237,"New York","All Homes",1996-05-01,NA
11365,"New York","All Homes",1996-05-01,NA
90292,"Los Angeles","All Homes",1996-05-01,151
11103,"New York","All Homes",1996-05-01,NA
11367,"New York","All Homes",1996-05-01,NA
90008,"Los Angeles","All Homes",1996-05-01,NA
94123,"San Francisco","All Homes",1996-05-01,307
91604,"Los Angeles","All Homes",1996-05-01,154
91401,"Los Angeles","All Homes",1996-05-01,NA
94103,"San Francisco","All Homes",1996-05-01,208
10035,"New York","All Homes",1996-05-01,NA
10075,"New York","All Homes",1996-05-01,NA
11102,"New York","All Homes",1996-05-01,NA
11101,"New York","All Homes",1996-05-01,NA
11231,"New York","All Homes",1996-05-01,NA
10301,"New York","All Homes",1996-05-01,109
90035,"Los Angeles","All Homes",1996-05-01,NA
98117,"Seattle","All Homes",1996-05-01,116
91306,"Los Angeles","All Homes",1996-05-01,NA
10001,"New York","All Homes",1996-05-01,NA
90744,"Los Angeles","All Homes",1996-05-01,106
91607,"Los Angeles","All Homes",1996-05-01,111
90048,"Los Angeles","All Homes",1996-05-01,151
10304,"New York","All Homes",1996-05-01,105
91311,"Los Angeles","All Homes",1996-05-01,98
11249,"New York","All Homes",1996-05-01,NA
90007,"Los Angeles","All Homes",1996-05-01,NA
94131,"San Francisco","All Homes",1996-05-01,230
10305,"New York","All Homes",1996-05-01,107
90068,"Los Angeles","All Homes",1996-05-01,159
90032,"Los Angeles","All Homes",1996-05-01,105
11357,"New York","All Homes",1996-05-01,NA
98107,"Seattle","All Homes",1996-05-01,128
94133,"San Francisco","All Homes",1996-05-01,323
90033,"Los Angeles","All Homes",1996-05-01,NA
11105,"New York","All Homes",1996-05-01,NA
98144,"Seattle","All Homes",1996-05-01,105
11364,"New York","All Homes",1996-05-01,NA
98116,"Seattle","All Homes",1996-05-01,127
91316,"Los Angeles","All Homes",1996-05-01,103
90038,"Los Angeles","All Homes",1996-05-01,115
91326,"Los Angeles","All Homes",1996-05-01,107
90064,"Los Angeles","All Homes",1996-05-01,179
98119,"Seattle","All Homes",1996-05-01,142
11104,"New York","All Homes",1996-05-01,NA
90002,"Los Angeles","All Homes",1996-05-01,95
11358,"New York","All Homes",1996-05-01,NA
90039,"Los Angeles","All Homes",1996-05-01,128
10030,"New York","All Homes",1996-05-01,NA
91325,"Los Angeles","All Homes",1996-05-01,NA
90012,"Los Angeles","All Homes",1996-05-01,100
91403,"Los Angeles","All Homes",1996-05-01,134
91356,"Los Angeles","All Homes",1996-05-01,120
91352,"Los Angeles","All Homes",1996-05-01,98
90031,"Los Angeles","All Homes",1996-05-01,99
98121,"Seattle","All Homes",1996-05-01,171
94134,"San Francisco","All Homes",1996-05-01,147
90017,"Los Angeles","All Homes",1996-05-01,106
10039,"New York","All Homes",1996-05-01,NA
90023,"Los Angeles","All Homes",1996-05-01,114
11228,"New York","All Homes",1996-05-01,NA
10038,"New York","All Homes",1996-05-01,NA
94132,"San Francisco","All Homes",1996-05-01,178
11379,"New York","All Homes",1996-05-01,NA
11413,"New York","All Homes",1996-05-01,NA
98106,"Seattle","All Homes",1996-05-01,87
98112,"Seattle","All Homes",1996-05-01,142
91364,"Los Angeles","All Homes",1996-05-01,130
94124,"San Francisco","All Homes",1996-05-01,126
90041,"Los Angeles","All Homes",1996-05-01,127
11420,"New York","All Homes",1996-05-01,NA
90059,"Los Angeles","All Homes",1996-05-01,95
11414,"New York","All Homes",1996-05-01,NA
91042,"Los Angeles","All Homes",1996-05-01,103
98126,"Seattle","All Homes",1996-05-01,104
91602,"Los Angeles","All Homes",1996-05-01,120
98101,"Seattle","All Homes",1996-05-01,168
10309,"New York","All Homes",1996-05-01,96
90272,"Los Angeles","All Homes",1996-05-01,261
91303,"Los Angeles","All Homes",1996-05-01,99
11412,"New York","All Homes",1996-05-01,NA
11361,"New York","All Homes",1996-05-01,NA
91324,"Los Angeles","All Homes",1996-05-01,94
