"RegionName","City","HousingType","Time","Value","lon","lat"
10001,"New York","All Homes",2010-10-01,19.51,-73.9991637,40.7536854
10001,"New York","All Homes",2010-11-01,19.47,-73.9991637,40.7536854
10001,"New York","All Homes",2010-12-01,19.09,-73.9991637,40.7536854
10001,"New York","All Homes",2011-01-01,19.36,-73.9991637,40.7536854
10001,"New York","All Homes",2011-02-01,19.8,-73.9991637,40.7536854
10001,"New York","All Homes",2011-03-01,20.31,-73.9991637,40.7536854
10001,"New York","All Homes",2011-04-01,20.97,-73.9991637,40.7536854
10001,"New York","All Homes",2011-05-01,21.06,-73.9991637,40.7536854
10001,"New York","All Homes",2011-06-01,21.04,-73.9991637,40.7536854
10001,"New York","All Homes",2011-07-01,21.2,-73.9991637,40.7536854
10001,"New York","All Homes",2011-08-01,21.58,-73.9991637,40.7536854
10001,"New York","All Homes",2011-09-01,21.34,-73.9991637,40.7536854
10001,"New York","All Homes",2011-10-01,21.76,-73.9991637,40.7536854
10001,"New York","All Homes",2011-11-01,21.73,-73.9991637,40.7536854
10001,"New York","All Homes",2011-12-01,21.42,-73.9991637,40.7536854
10001,"New York","All Homes",2012-01-01,22.2,-73.9991637,40.7536854
10001,"New York","All Homes",2012-02-01,22.32,-73.9991637,40.7536854
10001,"New York","All Homes",2012-03-01,22.33,-73.9991637,40.7536854
10001,"New York","All Homes",2012-04-01,22.89,-73.9991637,40.7536854
10001,"New York","All Homes",2012-05-01,22.64,-73.9991637,40.7536854
10001,"New York","All Homes",2012-06-01,22.82,-73.9991637,40.7536854
10001,"New York","All Homes",2012-07-01,23.07,-73.9991637,40.7536854
10001,"New York","All Homes",2012-08-01,22.46,-73.9991637,40.7536854
10001,"New York","All Homes",2012-09-01,22.99,-73.9991637,40.7536854
10001,"New York","All Homes",2012-10-01,23.44,-73.9991637,40.7536854
10001,"New York","All Homes",2012-11-01,23.34,-73.9991637,40.7536854
10001,"New York","All Homes",2012-12-01,23.8,-73.9991637,40.7536854
10001,"New York","All Homes",2013-01-01,25.48,-73.9991637,40.7536854
10001,"New York","All Homes",2013-02-01,25.78,-73.9991637,40.7536854
10001,"New York","All Homes",2013-03-01,26.7,-73.9991637,40.7536854
10001,"New York","All Homes",2013-04-01,26.91,-73.9991637,40.7536854
10001,"New York","All Homes",2013-05-01,26.62,-73.9991637,40.7536854
10001,"New York","All Homes",2013-06-01,26.4,-73.9991637,40.7536854
10001,"New York","All Homes",2013-07-01,27.17,-73.9991637,40.7536854
10001,"New York","All Homes",2013-08-01,27.28,-73.9991637,40.7536854
10001,"New York","All Homes",2013-09-01,26.32,-73.9991637,40.7536854
10001,"New York","All Homes",2013-10-01,27.4,-73.9991637,40.7536854
10001,"New York","All Homes",2013-11-01,26.86,-73.9991637,40.7536854
10001,"New York","All Homes",2013-12-01,25.9,-73.9991637,40.7536854
10001,"New York","All Homes",2014-01-01,25.24,-73.9991637,40.7536854
10001,"New York","All Homes",2014-02-01,26.04,-73.9991637,40.7536854
10001,"New York","All Homes",2014-03-01,25.61,-73.9991637,40.7536854
10001,"New York","All Homes",2014-04-01,25.66,-73.9991637,40.7536854
10001,"New York","All Homes",2014-05-01,26.49,-73.9991637,40.7536854
10001,"New York","All Homes",2014-06-01,26.13,-73.9991637,40.7536854
10001,"New York","All Homes",2014-07-01,26.13,-73.9991637,40.7536854
10001,"New York","All Homes",2014-08-01,25.25,-73.9991637,40.7536854
10001,"New York","All Homes",2014-09-01,24.86,-73.9991637,40.7536854
10001,"New York","All Homes",2014-10-01,23.89,-73.9991637,40.7536854
10001,"New York","All Homes",2014-11-01,24.09,-73.9991637,40.7536854
10001,"New York","All Homes",2014-12-01,24.2,-73.9991637,40.7536854
10001,"New York","All Homes",2015-01-01,24.23,-73.9991637,40.7536854
10001,"New York","All Homes",2015-02-01,24.44,-73.9991637,40.7536854
10001,"New York","All Homes",2015-03-01,25.1,-73.9991637,40.7536854
10001,"New York","All Homes",2015-04-01,25.08,-73.9991637,40.7536854
10001,"New York","All Homes",2015-05-01,26.21,-73.9991637,40.7536854
10001,"New York","All Homes",2015-06-01,26.81,-73.9991637,40.7536854
10001,"New York","All Homes",2015-07-01,26.71,-73.9991637,40.7536854
10001,"New York","All Homes",2015-08-01,26.61,-73.9991637,40.7536854
10001,"New York","All Homes",2015-09-01,26.8,-73.9991637,40.7536854
10001,"New York","All Homes",2015-10-01,26.01,-73.9991637,40.7536854
10001,"New York","All Homes",2015-11-01,25.64,-73.9991637,40.7536854
10001,"New York","All Homes",2015-12-01,24.88,-73.9991637,40.7536854
10001,"New York","All Homes",2016-01-01,25.03,-73.9991637,40.7536854
10001,"New York","All Homes",2016-02-01,25.12,-73.9991637,40.7536854
10001,"New York","All Homes",2016-03-01,25.46,-73.9991637,40.7536854
10001,"New York","All Homes",2016-04-01,24.83,-73.9991637,40.7536854
10001,"New York","All Homes",2016-05-01,22.85,-73.9991637,40.7536854
10001,"New York","All Homes",2016-06-01,23.83,-73.9991637,40.7536854
